,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier
67,Decision Tree,0.85,0.15,0.15,78.71664549,87.86407767,85.44453186,14.99364676,1
68,Decision Tree,0.85,0.2,0.15,81.63913596,89.40609952,87.64752164,19.94917408,1
69,Decision Tree,0.85,0.25,0.15,82.52858958,89.08948195,89.29976397,24.9682338,1
70,Decision Tree,0.85,0.3,0.15,83.79923761,90.38155803,89.45712038,29.98729352,1
71,Decision Tree,0.85,0.4,0.15,87.10292249,92.04724409,91.97482297,39.96188056,1
72,Decision Tree,0.9,0.1,0.01,74.39644219,87.03071672,80.25177026,9.974587039,1
73,Decision Tree,0.9,0.15,0.01,77.63659466,88.06959403,83.63493312,14.99364676,1
74,Decision Tree,0.9,0.2,0.01,82.08386277,89.40239044,88.27694729,19.94917408,1
75,Decision Tree,0.9,0.25,0.01,83.227446,89.42834769,89.85051141,24.9682338,1
76,Decision Tree,0.9,0.3,0.01,84.87928844,89.94586234,91.50275374,29.98729352,1
77,Decision Tree,0.9,0.4,0.01,87.4841169,92.41706161,92.05350118,39.96188056,1
78,Decision Tree,0.9,0.1,0.03,72.74459975,86.04452055,79.07159717,9.974587039,1
79,Decision Tree,0.9,0.15,0.03,78.84371029,88.3797054,84.97246263,14.99364676,1
80,Decision Tree,0.9,0.2,0.03,82.08386277,89.46528332,88.19826908,19.94917408,1
81,Decision Tree,0.9,0.25,0.03,82.21092757,89.29421094,88.59166011,24.9682338,1
82,Decision Tree,0.9,0.3,0.03,84.37102922,90.38613081,90.24390244,29.98729352,1
83,Decision Tree,0.9,0.4,0.03,87.2935197,92.06598586,92.21085759,39.96188056,1
84,Decision Tree,0.9,0.1,0.05,76.68360864,87.54152824,82.92682927,9.974587039,1
85,Decision Tree,0.9,0.15,0.05,78.20838628,88.0952381,84.42171518,14.99364676,1
86,Decision Tree,0.9,0.2,0.05,81.57560356,89.08366534,87.96223446,19.94917408,1
87,Decision Tree,0.9,0.25,0.05,82.90978399,89.57345972,89.22108576,24.9682338,1
88,Decision Tree,0.9,0.3,0.05,84.18043202,89.98435055,90.47993706,29.98729352,1
89,Decision Tree,0.9,0.4,0.05,87.4205845,92.14454046,92.2895358,39.96188056,1
90,Decision Tree,0.9,0.1,0.08,76.17534943,87.08609272,82.76947286,9.974587039,1
91,Decision Tree,0.9,0.15,0.08,77.00127065,87.40740741,83.55625492,14.99364676,1
92,Decision Tree,0.9,0.2,0.08,81.70266836,89.10103421,88.11959087,19.94917408,1
93,Decision Tree,0.9,0.25,0.08,82.59212198,89.40711462,88.98505114,24.9682338,1
94,Decision Tree,0.9,0.3,0.08,83.79923761,89.81191223,90.16522423,29.98729352,1
95,Decision Tree,0.9,0.4,0.08,87.3570521,92.47226624,91.81746656,39.96188056,1
96,Decision Tree,0.9,0.1,0.1,75.28589581,85.73743922,83.24154209,9.974587039,1
97,Decision Tree,0.9,0.15,0.1,77.82719187,87.66339869,84.42171518,14.99364676,1
98,Decision Tree,0.9,0.2,0.1,81.70266836,89.28856914,87.88355625,19.94917408,1
99,Decision Tree,0.9,0.25,0.1,82.90978399,90.20866774,88.4343037,24.9682338,1
100,Decision Tree,0.9,0.3,0.1,84.18043202,90.36334913,90.00786782,29.98729352,1
101,Decision Tree,0.9,0.4,0.1,86.91232529,92.22839017,91.50275374,39.96188056,1
102,Decision Tree,0.9,0.1,0.15,75.41296061,86.77204659,82.061369,9.974587039,1
103,Decision Tree,0.9,0.15,0.15,77.12833545,87.42810189,83.71361133,14.99364676,1
104,Decision Tree,0.9,0.2,0.15,81.00381194,88.81789137,87.49016522,19.94917408,1
105,Decision Tree,0.9,0.25,0.15,82.33799238,89.43606037,88.59166011,24.9682338,1
106,Decision Tree,0.9,0.3,0.15,84.68869123,90.0466563,91.10936271,29.98729352,1
107,Decision Tree,0.9,0.4,0.15,86.59466328,92.19745223,91.10936271,39.96188056,1
108,Decision Tree,0.95,0.1,0.01,75.0317662,86.82885906,81.43194335,9.974587039,1
109,Decision Tree,0.95,0.15,0.01,77.76365947,87.71498771,84.26435877,14.99364676,1
110,Decision Tree,0.95,0.2,0.01,82.02033037,89.08227848,88.59166011,19.94917408,1
111,Decision Tree,0.95,0.25,0.01,83.1639136,89.54402516,89.61447679,24.9682338,1
112,Decision Tree,0.95,0.3,0.01,84.18043202,90.49128368,89.85051141,29.98729352,1
113,Decision Tree,0.95,0.4,0.01,86.72172808,91.74528302,91.81746656,39.96188056,1
114,Decision Tree,0.95,0.1,0.03,74.26937738,86.75721562,80.40912667,9.974587039,1
115,Decision Tree,0.95,0.15,0.03,79.0343075,88.34555827,85.28717545,14.99364676,1
116,Decision Tree,0.95,0.2,0.03,82.02033037,89.33121019,88.27694729,19.94917408,1
117,Decision Tree,0.95,0.25,0.03,82.97331639,89.51930654,89.37844217,24.9682338,1
118,Decision Tree,0.95,0.3,0.03,84.56162643,90.34536892,90.55861526,29.98729352,1
119,Decision Tree,0.95,0.4,0.03,86.72172808,92.54807692,90.87332809,39.96188056,1
120,Decision Tree,0.95,0.1,0.05,73.18932656,86.31308811,79.38630999,9.974587039,1
121,Decision Tree,0.95,0.15,0.05,78.65311309,88.28828829,84.81510622,14.99364676,1
122,Decision Tree,0.95,0.2,0.05,81.82973316,89.62188254,87.64752164,19.94917408,1
123,Decision Tree,0.95,0.25,0.05,82.33799238,88.88018794,89.29976397,24.9682338,1
124,Decision Tree,0.95,0.3,0.05,84.05336722,90.03139717,90.24390244,29.98729352,1
125,Decision Tree,0.95,0.4,0.05,87.5476493,92.2895358,92.2895358,39.96188056,1
126,Decision Tree,0.95,0.1,0.08,74.14231258,87.24137931,79.62234461,9.974587039,1
127,Decision Tree,0.95,0.15,0.08,77.76365947,88.40700584,83.39889851,14.99364676,1
128,Decision Tree,0.95,0.2,0.08,81.44853875,89.57154406,87.1754524,19.94917408,1
129,Decision Tree,0.95,0.25,0.08,82.14739517,89.66346154,88.04091267,24.9682338,1
130,Decision Tree,0.95,0.3,0.08,83.92630241,89.82785603,90.32258065,29.98729352,1
131,Decision Tree,0.95,0.4,0.08,87.10292249,92.31378764,91.66011015,39.96188056,1
132,Decision Tree,0.95,0.1,0.1,74.01524778,86.21848739,80.7238395,9.974587039,1
133,Decision Tree,0.95,0.15,0.1,78.58958069,87.78317152,85.36585366,14.99364676,1
134,Decision Tree,0.95,0.2,0.1,81.82973316,89.55823293,87.72619984,19.94917408,1
135,Decision Tree,0.95,0.25,0.1,81.00381194,88.94230769,87.33280881,24.9682338,1
136,Decision Tree,0.95,0.3,0.1,83.98983482,89.71161341,90.55861526,29.98729352,1
137,Decision Tree,0.95,0.4,0.1,86.97585769,92.16772152,91.66011015,39.96188056,1
138,Decision Tree,0.95,0.1,0.15,73.95171537,86.76345004,79.93705744,9.974587039,1
139,Decision Tree,0.95,0.15,0.15,78.01778907,88.254756,83.94964595,14.99364676,1
140,Decision Tree,0.95,0.2,0.15,81.82973316,89.62188254,87.64752164,19.94917408,1
141,Decision Tree,0.95,0.25,0.15,81.76620076,89.17197452,88.11959087,24.9682338,1
142,Decision Tree,0.95,0.3,0.15,84.24396442,90.43478261,90.00786782,29.98729352,1
143,Decision Tree,0.95,0.4,0.15,87.3570521,92.33807267,91.97482297,39.96188056,1
144,Decision Tree,0.99,0.1,0.01,75.158831,86.7278798,81.74665618,9.974587039,1
145,Decision Tree,0.99,0.15,0.01,76.87420584,87.38664468,83.39889851,14.99364676,1
146,Decision Tree,0.99,0.2,0.01,81.95679797,88.95027624,88.67033832,19.94917408,1
147,Decision Tree,0.99,0.25,0.01,82.40152478,89.13385827,89.06372935,24.9682338,1
148,Decision Tree,0.99,0.3,0.01,85.13341804,90.60297572,91.0306845,29.98729352,1
149,Decision Tree,0.99,0.4,0.01,87.86531131,92.25352113,92.76160504,39.96188056,1
150,Decision Tree,0.99,0.1,0.03,74.65057179,87.5862069,79.93705744,9.974587039,1
151,Decision Tree,0.99,0.15,0.03,77.89072427,87.61206194,84.5790716,14.99364676,1
152,Decision Tree,0.99,0.2,0.03,82.08386277,89.46528332,88.19826908,19.94917408,1
153,Decision Tree,0.99,0.25,0.03,82.59212198,89.72111554,88.59166011,24.9682338,1
154,Decision Tree,0.99,0.3,0.03,84.18043202,90.17295597,90.24390244,29.98729352,1
155,Decision Tree,0.99,0.4,0.03,86.78526048,92.14908803,91.42407553,39.96188056,1
156,Decision Tree,0.99,0.1,0.05,74.9682338,86.87973087,81.27458694,9.974587039,1
157,Decision Tree,0.99,0.15,0.05,77.50952986,87.6746097,83.94964595,14.99364676,1
158,Decision Tree,0.99,0.2,0.05,82.27445997,89.42766296,88.5129819,19.94917408,1
159,Decision Tree,0.99,0.25,0.05,83.4815756,89.96047431,89.53579858,24.9682338,1
160,Decision Tree,0.99,0.3,0.05,83.98983482,89.8981989,90.32258065,29.98729352,1
161,Decision Tree,0.99,0.4,0.05,86.78526048,92.283214,91.26671912,39.96188056,1
162,Decision Tree,0.99,0.1,0.08,76.17534943,87.27121464,82.53343824,9.974587039,1
163,Decision Tree,0.99,0.15,0.08,78.01778907,87.38884398,85.05114083,14.99364676,1
164,Decision Tree,0.99,0.2,0.08,81.76620076,89.2971246,87.96223446,19.94917408,1
165,Decision Tree,0.99,0.25,0.08,81.32147395,89.55465587,87.01809599,24.9682338,1
