,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
55,Logistic Regression,0.85,0.15,0.08,95.54390564,100,74.62686567,45.08519004,Logistic Regression
56,Logistic Regression,0.85,0.2,0.08,95.93709043,100,76.86567164,49.14809961,Logistic Regression
57,Logistic Regression,0.85,0.25,0.08,96.06815203,100,77.6119403,52.03145478,Logistic Regression
58,Logistic Regression,0.85,0.3,0.08,96.06815203,100,77.6119403,53.34207077,Logistic Regression
59,Logistic Regression,0.85,0.4,0.08,98.16513761,100,89.55223881,65.79292267,Logistic Regression
60,Logistic Regression,0.85,0.1,0.1,95.41284404,100,73.88059701,41.93971166,Logistic Regression
61,Logistic Regression,0.85,0.15,0.1,95.54390564,100,74.62686567,45.21625164,Logistic Regression
62,Logistic Regression,0.85,0.2,0.1,96.06815203,100,77.6119403,49.4102228,Logistic Regression
63,Logistic Regression,0.85,0.25,0.1,96.06815203,100,77.6119403,52.03145478,Logistic Regression
64,Logistic Regression,0.85,0.3,0.1,96.19921363,100,78.35820896,53.73525557,Logistic Regression
65,Logistic Regression,0.85,0.4,0.1,98.16513761,100,89.55223881,65.92398427,Logistic Regression
66,Logistic Regression,0.85,0.1,0.15,95.41284404,100,73.88059701,42.20183486,Logistic Regression
67,Logistic Regression,0.85,0.15,0.15,95.54390564,100,74.62686567,44.95412844,Logistic Regression
68,Logistic Regression,0.85,0.2,0.15,96.06815203,100,77.6119403,49.5412844,Logistic Regression
69,Logistic Regression,0.85,0.25,0.15,96.06815203,100,77.6119403,52.29357798,Logistic Regression
70,Logistic Regression,0.85,0.3,0.15,96.06815203,100,77.6119403,53.60419397,Logistic Regression
71,Logistic Regression,0.85,0.4,0.15,98.16513761,100,89.55223881,65.92398427,Logistic Regression
72,Logistic Regression,0.9,0.1,0.01,98.82044561,100,93.28358209,69.59370904,Logistic Regression
73,Logistic Regression,0.9,0.15,0.01,98.68938401,100,92.53731343,67.62778506,Logistic Regression
74,Logistic Regression,0.9,0.2,0.01,99.08256881,100,94.7761194,74.18086501,Logistic Regression
75,Logistic Regression,0.9,0.25,0.01,99.08256881,100,94.7761194,74.04980341,Logistic Regression
76,Logistic Regression,0.9,0.3,0.01,98.95150721,100,94.02985075,72.21494102,Logistic Regression
77,Logistic Regression,0.9,0.4,0.01,99.8689384,100,99.25373134,81.38925295,Logistic Regression
78,Logistic Regression,0.9,0.1,0.03,98.82044561,100,93.28358209,69.46264744,Logistic Regression
79,Logistic Regression,0.9,0.15,0.03,98.68938401,100,92.53731343,67.88990826,Logistic Regression
80,Logistic Regression,0.9,0.2,0.03,99.08256881,100,94.7761194,75.2293578,Logistic Regression
