,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
61,Decision Tree,0.85,0.15,0.1,84.01048493,55.66037736,44.02985075,14.94102228,Decision Tree
62,Decision Tree,0.85,0.2,0.1,85.45216252,60.36036036,50,19.92136304,Decision Tree
63,Decision Tree,0.85,0.25,0.1,85.58322412,60.34482759,52.23880597,24.9017038,Decision Tree
64,Decision Tree,0.85,0.3,0.1,85.05897772,60,44.7761194,29.88204456,Decision Tree
65,Decision Tree,0.85,0.4,0.1,86.36959371,61.9047619,58.20895522,39.97378768,Decision Tree
66,Decision Tree,0.85,0.1,0.15,80.20969856,42.34234234,35.07462687,9.96068152,Decision Tree
67,Decision Tree,0.85,0.15,0.15,83.09305374,52.29357798,42.53731343,14.94102228,Decision Tree
68,Decision Tree,0.85,0.2,0.15,84.92791612,58.26086957,50,19.92136304,Decision Tree
69,Decision Tree,0.85,0.25,0.15,84.14154653,55.2,51.49253731,24.9017038,Decision Tree
70,Decision Tree,0.85,0.3,0.15,85.05897772,58.47457627,51.49253731,29.88204456,Decision Tree
71,Decision Tree,0.85,0.4,0.15,86.76277851,63.86554622,56.71641791,39.97378768,Decision Tree
72,Decision Tree,0.9,0.1,0.01,80.73394495,43.80952381,34.32835821,9.96068152,Decision Tree
73,Decision Tree,0.9,0.15,0.01,82.83093054,51.2195122,47.01492537,14.94102228,Decision Tree
74,Decision Tree,0.9,0.2,0.01,84.01048493,55.35714286,46.26865672,19.92136304,Decision Tree
75,Decision Tree,0.9,0.25,0.01,85.45216252,59.82905983,52.23880597,24.9017038,Decision Tree
76,Decision Tree,0.9,0.3,0.01,84.01048493,54.76190476,51.49253731,29.88204456,Decision Tree
77,Decision Tree,0.9,0.4,0.01,87.0249017,64.22764228,58.95522388,39.97378768,Decision Tree
78,Decision Tree,0.9,0.1,0.03,80.07863696,43.07692308,41.79104478,9.96068152,Decision Tree
79,Decision Tree,0.9,0.15,0.03,83.35517693,53.09734513,44.7761194,14.94102228,Decision Tree
80,Decision Tree,0.9,0.2,0.03,85.32110092,59.64912281,50.74626866,19.92136304,Decision Tree
81,Decision Tree,0.9,0.25,0.03,84.92791612,58.26086957,50,24.9017038,Decision Tree
82,Decision Tree,0.9,0.3,0.03,84.01048493,54.91803279,50,29.88204456,Decision Tree
83,Decision Tree,0.9,0.4,0.03,86.36959371,62.5,55.97014925,39.97378768,Decision Tree
84,Decision Tree,0.9,0.1,0.05,81.65137615,47.27272727,38.80597015,9.96068152,Decision Tree
85,Decision Tree,0.9,0.15,0.05,83.22411533,52.72727273,43.28358209,14.94102228,Decision Tree
86,Decision Tree,0.9,0.2,0.05,84.53473132,56.89655172,49.25373134,19.92136304,Decision Tree
87,Decision Tree,0.9,0.25,0.05,85.84534731,61.81818182,50.74626866,24.9017038,Decision Tree
88,Decision Tree,0.9,0.3,0.05,85.05897772,58.47457627,51.49253731,29.88204456,Decision Tree
89,Decision Tree,0.9,0.4,0.05,85.97640891,60.30534351,58.95522388,39.97378768,Decision Tree
90,Decision Tree,0.9,0.1,0.08,80.34076016,43.10344828,37.31343284,9.96068152,Decision Tree
91,Decision Tree,0.9,0.15,0.08,83.48623853,53.7037037,43.28358209,14.94102228,Decision Tree
92,Decision Tree,0.9,0.2,0.08,85.32110092,60,49.25373134,19.92136304,Decision Tree
93,Decision Tree,0.9,0.25,0.08,85.05897772,58.47457627,51.49253731,24.9017038,Decision Tree
94,Decision Tree,0.9,0.3,0.08,84.92791612,57.98319328,51.49253731,29.88204456,Decision Tree
95,Decision Tree,0.9,0.4,0.08,86.50065531,62.01550388,59.70149254,39.97378768,Decision Tree
96,Decision Tree,0.9,0.1,0.1,79.94757536,41.59292035,35.07462687,9.96068152,Decision Tree
97,Decision Tree,0.9,0.15,0.1,83.35517693,52.59259259,52.98507463,14.94102228,Decision Tree
98,Decision Tree,0.9,0.2,0.1,84.79685452,58.03571429,48.50746269,19.92136304,Decision Tree
99,Decision Tree,0.9,0.25,0.1,84.53473132,56.66666667,50.74626866,24.9017038,Decision Tree
100,Decision Tree,0.9,0.3,0.1,84.53473132,56.06060606,55.2238806,29.88204456,Decision Tree
101,Decision Tree,0.9,0.4,0.1,86.76277851,62.99212598,59.70149254,39.97378768,Decision Tree
102,Decision Tree,0.9,0.1,0.15,79.81651376,41.37931034,35.82089552,9.96068152,Decision Tree
103,Decision Tree,0.9,0.15,0.15,84.53473132,57.27272727,47.01492537,14.94102228,Decision Tree
104,Decision Tree,0.9,0.2,0.15,83.87942333,54.95495495,45.52238806,19.92136304,Decision Tree
105,Decision Tree,0.9,0.25,0.15,83.61730013,53.54330709,50.74626866,24.9017038,Decision Tree
106,Decision Tree,0.9,0.3,0.15,85.97640891,61.53846154,53.73134328,29.88204456,Decision Tree
107,Decision Tree,0.9,0.4,0.15,86.50065531,62.4,58.20895522,39.97378768,Decision Tree
108,Decision Tree,0.95,0.1,0.01,81.65137615,47.27272727,38.80597015,9.96068152,Decision Tree
109,Decision Tree,0.95,0.15,0.01,83.22411533,52.54237288,46.26865672,14.94102228,Decision Tree
110,Decision Tree,0.95,0.2,0.01,85.19003932,59.63302752,48.50746269,19.92136304,Decision Tree
111,Decision Tree,0.95,0.25,0.01,85.32110092,60,49.25373134,24.9017038,Decision Tree
