,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
65,Random Forest,0.85,0.4,0.1,97.64089121887287,100.0,86.56716417910448,63.30275229357798
66,Random Forest,0.85,0.1,0.15,94.4954128440367,100.0,68.65671641791045,36.3040629095675
67,Random Forest,0.85,0.15,0.15,94.88859764089122,100.0,70.8955223880597,39.84272608125819
68,Random Forest,0.85,0.2,0.15,95.80602883355176,100.0,76.11940298507463,46.00262123197903
69,Random Forest,0.85,0.25,0.15,95.93709043250328,100.0,76.86567164179104,50.19659239842726
70,Random Forest,0.85,0.3,0.15,96.4613368283093,100.0,79.85074626865672,55.70117955439056
71,Random Forest,0.85,0.4,0.15,98.0340760157274,100.0,88.80597014925372,64.08912188728702
72,Random Forest,0.9,0.1,0.01,93.70904325032765,100.0,64.17910447761194,32.11009174311926
73,Random Forest,0.9,0.15,0.01,93.97116644823066,100.0,65.67164179104478,37.745740498034074
74,Random Forest,0.9,0.2,0.01,95.28178243774575,100.0,73.13432835820896,45.085190039318476
75,Random Forest,0.9,0.25,0.01,95.80602883355176,100.0,76.11940298507463,49.93446920052425
76,Random Forest,0.9,0.3,0.01,96.59239842726082,100.0,80.59701492537313,56.88073394495413
77,Random Forest,0.9,0.4,0.01,97.90301441677589,100.0,88.05970149253731,65.00655307994758
78,Random Forest,0.9,0.1,0.03,93.97116644823066,100.0,65.67164179104478,35.38663171690695
79,Random Forest,0.9,0.15,0.03,94.36435124508519,100.0,67.91044776119404,40.10484927916121
80,Random Forest,0.9,0.2,0.03,96.19921363040629,100.0,78.35820895522389,47.313237221494106
81,Random Forest,0.9,0.25,0.03,96.19921363040629,100.0,78.35820895522389,51.507208387942335
82,Random Forest,0.9,0.3,0.03,97.24770642201835,100.0,84.32835820895522,59.37090432503277
83,Random Forest,0.9,0.4,0.03,98.1651376146789,100.0,89.55223880597015,66.05504587155963
84,Random Forest,0.9,0.1,0.05,95.01965923984272,100.0,71.64179104477611,38.53211009174312
85,Random Forest,0.9,0.15,0.05,94.88859764089122,100.0,70.8955223880597,41.28440366972477
86,Random Forest,0.9,0.2,0.05,96.06815203145479,100.0,77.61194029850746,48.75491480996068
87,Random Forest,0.9,0.25,0.05,96.59239842726082,100.0,80.59701492537313,53.07994757536042
88,Random Forest,0.9,0.3,0.05,97.37876802096986,100.0,85.07462686567165,60.28833551769332
89,Random Forest,0.9,0.4,0.05,98.2961992136304,100.0,90.29850746268657,67.10353866317169
90,Random Forest,0.9,0.1,0.08,94.23328964613368,100.0,67.16417910447761,38.00786369593709
91,Random Forest,0.9,0.15,0.08,95.28178243774575,100.0,73.13432835820896,44.03669724770642
92,Random Forest,0.9,0.2,0.08,96.72346002621232,100.0,81.34328358208955,51.114023591087815
93,Random Forest,0.9,0.25,0.08,96.85452162516383,100.0,82.08955223880596,54.78374836173001
94,Random Forest,0.9,0.3,0.08,97.37876802096986,100.0,85.07462686567165,61.59895150720839
95,Random Forest,0.9,0.4,0.08,98.42726081258192,100.0,91.04477611940298,68.41415465268676
96,Random Forest,0.9,0.1,0.1,95.01965923984272,100.0,71.64179104477611,40.49803407601573
97,Random Forest,0.9,0.15,0.1,95.54390563564876,100.0,74.6268656716418,44.56094364351245
98,Random Forest,0.9,0.2,0.1,96.72346002621232,100.0,81.34328358208955,52.16251638269987
99,Random Forest,0.9,0.25,0.1,96.98558322411533,100.0,82.83582089552239,54.914809960681524
100,Random Forest,0.9,0.3,0.1,96.98558322411533,100.0,82.83582089552239,61.59895150720839
101,Random Forest,0.9,0.4,0.1,98.42726081258192,100.0,91.04477611940298,68.41415465268676
102,Random Forest,0.9,0.1,0.15,95.15072083879423,100.0,72.38805970149254,43.11926605504587
103,Random Forest,0.9,0.15,0.15,95.28178243774575,100.0,73.13432835820896,46.00262123197903
104,Random Forest,0.9,0.2,0.15,97.24770642201835,100.0,84.32835820895522,55.17693315858453
105,Random Forest,0.9,0.25,0.15,97.11664482306684,100.0,83.58208955223881,57.27391874180865
106,Random Forest,0.9,0.3,0.15,97.64089121887287,100.0,86.56716417910448,63.433813892529486
107,Random Forest,0.9,0.4,0.15,98.55832241153342,100.0,91.7910447761194,69.59370904325033
108,Random Forest,0.95,0.1,0.01,95.01965923984272,100.0,71.64179104477611,41.54652686762778
109,Random Forest,0.95,0.15,0.01,95.67496723460026,100.0,75.3731343283582,46.65792922673656
110,Random Forest,0.95,0.2,0.01,96.85452162516383,100.0,82.08955223880596,55.17693315858453
111,Random Forest,0.95,0.25,0.01,97.24770642201835,100.0,84.32835820895522,58.97771952817824
112,Random Forest,0.95,0.3,0.01,97.37876802096986,100.0,85.07462686567165,65.00655307994758
113,Random Forest,0.95,0.4,0.01,98.55832241153342,100.0,91.7910447761194,71.69069462647444
114,Random Forest,0.95,0.1,0.03,96.19921363040629,100.0,78.35820895522389,47.83748361730013
115,Random Forest,0.95,0.15,0.03,96.4613368283093,100.0,79.85074626865672,49.93446920052425
116,Random Forest,0.95,0.2,0.03,97.37876802096986,100.0,85.07462686567165,58.84665792922674
117,Random Forest,0.95,0.25,0.03,97.64089121887287,100.0,86.56716417910448,62.77850589777195
118,Random Forest,0.95,0.3,0.03,97.90301441677589,100.0,88.05970149253731,67.3656618610747
119,Random Forest,0.95,0.4,0.03,98.55832241153342,100.0,91.7910447761194,72.870249017038
120,Random Forest,0.95,0.1,0.05,96.4613368283093,100.0,79.85074626865672,48.492791612057665
121,Random Forest,0.95,0.15,0.05,96.72346002621232,100.0,81.34328358208955,52.424639580602886
122,Random Forest,0.95,0.2,0.05,98.0340760157274,100.0,88.80597014925372,61.336828309305375
123,Random Forest,0.95,0.25,0.05,97.77195281782437,100.0,87.31343283582089,64.61336828309305
124,Random Forest,0.95,0.3,0.05,97.64089121887287,100.0,86.56716417910448,67.75884665792923
125,Random Forest,0.95,0.4,0.05,98.42726081258192,100.0,91.04477611940298,74.5740498034076
126,Random Forest,0.95,0.1,0.08,96.98558322411533,100.0,82.83582089552239,52.686762778505894
127,Random Forest,0.95,0.15,0.08,96.59239842726082,100.0,80.59701492537313,55.57011795543906
128,Random Forest,0.95,0.2,0.08,97.64089121887287,100.0,86.56716417910448,63.30275229357798
129,Random Forest,0.95,0.25,0.08,98.0340760157274,100.0,88.80597014925372,65.00655307994758
130,Random Forest,0.95,0.3,0.08,98.1651376146789,100.0,89.55223880597015,70.11795543905636
131,Random Forest,0.95,0.4,0.08,98.95150720838794,100.0,94.02985074626865,75.09829619921364
132,Random Forest,0.95,0.1,0.1,97.37876802096986,100.0,85.07462686567165,55.04587155963303
133,Random Forest,0.95,0.15,0.1,96.98558322411533,100.0,82.83582089552239,56.88073394495413
134,Random Forest,0.95,0.2,0.1,98.1651376146789,100.0,89.55223880597015,65.13761467889908
135,Random Forest,0.95,0.25,0.1,98.1651376146789,100.0,89.55223880597015,66.97247706422019
136,Random Forest,0.95,0.3,0.1,98.2961992136304,100.0,90.29850746268657,69.46264744429882
137,Random Forest,0.95,0.4,0.1,98.82044560943643,100.0,93.28358208955224,76.80209698558322
138,Random Forest,0.95,0.1,0.15,97.24770642201835,100.0,84.32835820895522,58.58453473132372
139,Random Forest,0.95,0.15,0.15,97.37876802096986,100.0,85.07462686567165,60.419397116644824
140,Random Forest,0.95,0.2,0.15,97.90301441677589,100.0,88.05970149253731,65.00655307994758
141,Random Forest,0.95,0.25,0.15,98.2961992136304,100.0,90.29850746268657,67.62778505897772
142,Random Forest,0.95,0.3,0.15,98.2961992136304,100.0,90.29850746268657,69.98689384010486
143,Random Forest,0.95,0.4,0.15,98.82044560943643,100.0,93.28358208955224,77.85058977719528
144,Random Forest,0.99,0.1,0.01,98.1651376146789,100.0,89.55223880597015,68.28309305373526
145,Random Forest,0.99,0.15,0.01,98.55832241153342,100.0,91.7910447761194,73.52555701179554
146,Random Forest,0.99,0.2,0.01,99.21363040629096,100.0,95.5223880597015,80.73394495412845
147,Random Forest,0.99,0.25,0.01,99.21363040629096,100.0,95.5223880597015,80.60288335517693
148,Random Forest,0.99,0.3,0.01,99.60681520314547,100.0,97.76119402985074,81.913499344692
149,Random Forest,0.99,0.4,0.01,99.47575360419397,100.0,97.01492537313433,84.53473132372216
150,Random Forest,0.99,0.1,0.03,98.55832241153342,100.0,91.7910447761194,75.09829619921364
151,Random Forest,0.99,0.15,0.03,98.82044560943643,100.0,93.28358208955224,76.2778505897772
152,Random Forest,0.99,0.2,0.03,99.47575360419397,100.0,97.01492537313433,83.7483617300131
153,Random Forest,0.99,0.25,0.03,99.47575360419397,100.0,97.01492537313433,83.35517693315859
154,Random Forest,0.99,0.3,0.03,99.47575360419397,100.0,97.01492537313433,84.27260812581913
155,Random Forest,0.99,0.4,0.03,99.60681520314547,100.0,97.76119402985074,86.63171690694627
156,Random Forest,0.99,0.1,0.05,98.95150720838794,100.0,94.02985074626865,77.45740498034075
157,Random Forest,0.99,0.15,0.05,99.08256880733946,100.0,94.77611940298507,79.94757536041939
158,Random Forest,0.99,0.2,0.05,99.47575360419397,100.0,97.01492537313433,84.79685452162516
159,Random Forest,0.99,0.25,0.05,99.47575360419397,100.0,97.01492537313433,84.66579292267366
160,Random Forest,0.99,0.3,0.05,99.60681520314547,100.0,97.76119402985074,86.50065530799476
161,Random Forest,0.99,0.4,0.05,99.8689384010485,100.0,99.25373134328358,89.25294888597641
162,Random Forest,0.99,0.1,0.08,98.95150720838794,100.0,94.02985074626865,79.03014416775885
163,Random Forest,0.99,0.15,0.08,98.95150720838794,100.0,94.02985074626865,79.68545216251638
164,Random Forest,0.99,0.2,0.08,99.60681520314547,100.0,97.76119402985074,85.84534731323723
165,Random Forest,0.99,0.25,0.08,99.47575360419397,100.0,97.01492537313433,85.97640891218873
166,Random Forest,0.99,0.3,0.08,99.73787680209699,100.0,98.50746268656717,87.4180865006553
167,Random Forest,0.99,0.4,0.08,99.73787680209699,100.0,98.50746268656717,89.77719528178244
168,Random Forest,0.99,0.1,0.1,98.95150720838794,100.0,94.02985074626865,79.16120576671035
