,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
65,Random Forest,0.85,0.4,0.1,97.90343074968234,97.46932515337423,100.0,66.64548919949173
66,Random Forest,0.85,0.1,0.15,95.87039390088945,95.13473053892216,100.0,51.96950444726811
67,Random Forest,0.85,0.15,0.15,96.82337992376112,96.21498864496594,100.0,55.717916137229984
68,Random Forest,0.85,0.2,0.15,96.63278271918678,95.99697885196375,100.0,57.24269377382465
69,Random Forest,0.85,0.25,0.15,96.69631512071156,96.06953892668179,100.0,59.40279542566709
70,Random Forest,0.85,0.3,0.15,96.56925031766201,95.9245283018868,100.0,60.8005082592122
71,Random Forest,0.85,0.4,0.15,98.03049555273189,97.61904761904762,100.0,67.97966963151207
72,Random Forest,0.9,0.1,0.01,96.50571791613723,95.85218702865761,100.0,54.129606099110546
73,Random Forest,0.9,0.15,0.01,97.01397712833545,96.4339908952959,100.0,57.81448538754765
74,Random Forest,0.9,0.2,0.01,97.4587039390089,96.9488939740656,100.0,60.673443456162644
75,Random Forest,0.9,0.25,0.01,97.4587039390089,96.9488939740656,100.0,61.753494282083864
76,Random Forest,0.9,0.3,0.01,97.4587039390089,96.9488939740656,100.0,64.10419313850063
77,Random Forest,0.9,0.4,0.01,97.83989834815756,97.39463601532567,100.0,69.75857687420584
78,Random Forest,0.9,0.1,0.03,97.141041931385,96.580547112462,100.0,59.783989834815756
79,Random Forest,0.9,0.15,0.03,97.26810673443457,96.7275494672755,100.0,60.92757306226175
80,Random Forest,0.9,0.2,0.03,97.96696315120711,97.54412893323101,100.0,63.53240152477764
81,Random Forest,0.9,0.25,0.03,97.58576874205845,97.0970206264324,100.0,65.37484116899618
82,Random Forest,0.9,0.3,0.03,97.83989834815756,97.39463601532567,100.0,66.70902160101652
83,Random Forest,0.9,0.4,0.03,98.22109275730622,97.84449576597383,100.0,72.29987293519694
84,Random Forest,0.9,0.1,0.05,97.141041931385,96.580547112462,100.0,60.60991105463786
85,Random Forest,0.9,0.15,0.05,97.4587039390089,96.9488939740656,100.0,63.595933926302415
86,Random Forest,0.9,0.2,0.05,98.15756035578144,97.76923076923077,100.0,65.50190597204575
87,Random Forest,0.9,0.25,0.05,97.77636594663278,97.32006125574273,100.0,66.58195679796697
88,Random Forest,0.9,0.3,0.05,97.96696315120711,97.54412893323101,100.0,68.42439644218551
89,Random Forest,0.9,0.4,0.05,98.22109275730622,97.84449576597383,100.0,73.25285895806861
90,Random Forest,0.9,0.1,0.08,97.33163913595934,96.8012185833968,100.0,62.515883100381195
91,Random Forest,0.9,0.15,0.08,98.03049555273189,97.61904761904762,100.0,66.58195679796697
92,Random Forest,0.9,0.2,0.08,97.96696315120711,97.54412893323101,100.0,65.81956797966963
93,Random Forest,0.9,0.25,0.08,98.22109275730622,97.84449576597383,100.0,68.55146124523507
94,Random Forest,0.9,0.3,0.08,97.96696315120711,97.54412893323101,100.0,68.99618805590852
95,Random Forest,0.9,0.4,0.08,98.53875476493012,98.2225656877898,100.0,74.65057179161373
