,model,threshold,split_1,split_2,accuracy,human effort
96,Decision Tree,0.9,0.1,0.1,88.78776847,9.974517656
97,Decision Tree,0.9,0.15,0.1,88.86057517,14.99817983
98,Decision Tree,0.9,0.2,0.1,88.89697852,19.98543866
99,Decision Tree,0.9,0.25,0.1,90.64433928,24.97269749
100,Decision Tree,0.9,0.3,0.1,90.24390244,29.99635967
101,Decision Tree,0.9,0.4,0.1,92.20968329,39.97087732
102,Decision Tree,0.9,0.1,0.15,88.60575173,9.974517656
103,Decision Tree,0.9,0.15,0.15,88.96978522,14.99817983
104,Decision Tree,0.9,0.2,0.15,88.96978522,19.98543866
105,Decision Tree,0.9,0.25,0.15,90.38951584,24.97269749
106,Decision Tree,0.9,0.3,0.15,90.35311249,29.99635967
107,Decision Tree,0.9,0.4,0.15,91.55442301,39.97087732
108,Decision Tree,0.95,0.1,0.01,88.89697852,9.974517656
109,Decision Tree,0.95,0.15,0.01,89.04259192,14.99817983
110,Decision Tree,0.95,0.2,0.01,88.82417182,19.98543866
111,Decision Tree,0.95,0.25,0.01,90.97196942,24.97269749
112,Decision Tree,0.95,0.3,0.01,90.06188569,29.99635967
113,Decision Tree,0.95,0.4,0.01,91.9184565,39.97087732
114,Decision Tree,0.95,0.1,0.03,88.60575173,9.974517656
115,Decision Tree,0.95,0.15,0.03,89.04259192,14.99817983
116,Decision Tree,0.95,0.2,0.03,88.89697852,19.98543866
117,Decision Tree,0.95,0.25,0.03,90.35311249,24.97269749
118,Decision Tree,0.95,0.3,0.03,89.989079,29.99635967
119,Decision Tree,0.95,0.4,0.03,91.9184565,39.97087732
120,Decision Tree,0.95,0.1,0.05,88.31452494,9.974517656
121,Decision Tree,0.95,0.15,0.05,88.86057517,14.99817983
122,Decision Tree,0.95,0.2,0.05,89.07899527,19.98543866
123,Decision Tree,0.95,0.25,0.05,90.49872588,24.97269749
124,Decision Tree,0.95,0.3,0.05,90.24390244,29.99635967
125,Decision Tree,0.95,0.4,0.05,92.02766655,39.97087732
126,Decision Tree,0.95,0.1,0.08,88.71496178,9.974517656
127,Decision Tree,0.95,0.15,0.08,88.60575173,14.99817983
128,Decision Tree,0.95,0.2,0.08,88.60575173,19.98543866
129,Decision Tree,0.95,0.25,0.08,90.42591918,24.97269749
130,Decision Tree,0.95,0.3,0.08,90.17109574,29.99635967
131,Decision Tree,0.95,0.4,0.08,91.73643975,39.97087732
132,Decision Tree,0.95,0.1,0.1,88.24171824,9.974517656
133,Decision Tree,0.95,0.15,0.1,88.89697852,14.99817983
134,Decision Tree,0.95,0.2,0.1,89.07899527,19.98543866
135,Decision Tree,0.95,0.25,0.1,90.75354933,24.97269749
136,Decision Tree,0.95,0.3,0.1,90.17109574,29.99635967
137,Decision Tree,0.95,0.4,0.1,91.88205315,39.97087732
138,Decision Tree,0.95,0.1,0.15,88.60575173,9.974517656
139,Decision Tree,0.95,0.15,0.15,88.86057517,14.99817983
140,Decision Tree,0.95,0.2,0.15,89.00618857,19.98543866
141,Decision Tree,0.95,0.25,0.15,90.86275937,24.97269749
142,Decision Tree,0.95,0.3,0.15,90.13469239,29.99635967
143,Decision Tree,0.95,0.4,0.15,92.20968329,39.97087732
144,Decision Tree,0.99,0.1,0.01,88.27812159,9.974517656
145,Decision Tree,0.99,0.15,0.01,88.89697852,14.99817983
146,Decision Tree,0.99,0.2,0.01,88.96978522,19.98543866
147,Decision Tree,0.99,0.25,0.01,90.57153258,24.97269749
148,Decision Tree,0.99,0.3,0.01,90.49872588,29.99635967
149,Decision Tree,0.99,0.4,0.01,92.06406989,39.97087732
150,Decision Tree,0.99,0.1,0.03,88.71496178,9.974517656
151,Decision Tree,0.99,0.15,0.03,88.82417182,14.99817983
152,Decision Tree,0.99,0.2,0.03,88.67855843,19.98543866
153,Decision Tree,0.99,0.25,0.03,90.64433928,24.97269749
154,Decision Tree,0.99,0.3,0.03,90.09828904,29.99635967
155,Decision Tree,0.99,0.4,0.03,91.80924645,39.97087732
156,Decision Tree,0.99,0.1,0.05,88.60575173,9.974517656
157,Decision Tree,0.99,0.15,0.05,89.00618857,14.99817983
158,Decision Tree,0.99,0.2,0.05,88.46013833,19.98543866
159,Decision Tree,0.99,0.25,0.05,90.86275937,24.97269749
160,Decision Tree,0.99,0.3,0.05,90.17109574,29.99635967
161,Decision Tree,0.99,0.4,0.05,91.88205315,39.97087732
162,Decision Tree,0.99,0.1,0.08,88.89697852,9.974517656
163,Decision Tree,0.99,0.15,0.08,89.00618857,14.99817983
164,Decision Tree,0.99,0.2,0.08,88.64215508,19.98543866
165,Decision Tree,0.99,0.25,0.08,90.97196942,24.97269749
166,Decision Tree,0.99,0.3,0.08,90.31670914,29.99635967
167,Decision Tree,0.99,0.4,0.08,92.02766655,39.97087732
168,Decision Tree,0.99,0.1,0.1,88.16891154,9.974517656
169,Decision Tree,0.99,0.15,0.1,88.93338187,14.99817983
170,Decision Tree,0.99,0.2,0.1,88.82417182,19.98543866
171,Decision Tree,0.99,0.25,0.1,90.53512923,24.97269749
172,Decision Tree,0.99,0.3,0.1,90.42591918,29.99635967
173,Decision Tree,0.99,0.4,0.1,91.9912632,39.97087732
174,Decision Tree,0.99,0.1,0.15,89.29741536,9.974517656
175,Decision Tree,0.99,0.15,0.15,89.18820531,14.99817983
176,Decision Tree,0.99,0.2,0.15,88.64215508,19.98543866
177,Decision Tree,0.99,0.25,0.15,90.60793593,24.97269749
178,Decision Tree,0.99,0.3,0.15,90.31670914,29.99635967
179,Decision Tree,0.99,0.4,0.15,91.95485985,39.97087732
,Logistic Regression,0.8,0.1,0.01,97.56097561,32.7630142
,Logistic Regression,0.8,0.15,0.01,97.70658901,35.45686203
,Logistic Regression,0.8,0.2,0.01,97.81579905,38.98798689
,Logistic Regression,0.8,0.25,0.01,97.9978158,42.51911176
,Logistic Regression,0.8,0.3,0.01,98.10702585,45.97742992
,Logistic Regression,0.8,0.4,0.01,98.28904259,52.89406625
,Logistic Regression,0.8,0.1,0.03,97.74299236,33.41827448
,Logistic Regression,0.8,0.15,0.03,97.8522024,36.00291227
,Logistic Regression,0.8,0.2,0.03,97.81579905,39.13360029
,Logistic Regression,0.8,0.25,0.03,98.0706225,42.7739352
,Logistic Regression,0.8,0.3,0.03,98.17983254,46.26865672
,Logistic Regression,0.8,0.4,0.03,98.28904259,53.03967965
,Logistic Regression,0.8,0.1,0.05,97.70658901,33.56388788
,Logistic Regression,0.8,0.15,0.05,97.81579905,36.03931562
,Logistic Regression,0.8,0.2,0.05,97.8522024,39.42482708
,Logistic Regression,0.8,0.25,0.05,98.0706225,42.9195486
,Logistic Regression,0.8,0.3,0.05,98.1434292,46.37786676
,Logistic Regression,0.8,0.4,0.05,98.32544594,53.18529305
,Logistic Regression,0.8,0.1,0.08,97.7793957,34.07353477
,Logistic Regression,0.8,0.15,0.08,97.88860575,36.6217692
,Logistic Regression,0.8,0.2,0.08,97.9250091,39.75245723
,Logistic Regression,0.8,0.25,0.08,98.10702585,43.17437204
,Logistic Regression,0.8,0.3,0.08,98.25263924,46.74190025
,Logistic Regression,0.8,0.4,0.08,98.28904259,53.36730979
,Logistic Regression,0.8,0.1,0.1,97.74299236,34.03713142
,Logistic Regression,0.8,0.15,0.1,97.88860575,36.7673826
,Logistic Regression,0.8,0.2,0.1,98.0706225,40.29850746
,Logistic Regression,0.8,0.25,0.1,98.21623589,43.46559884
,Logistic Regression,0.8,0.3,0.1,98.25263924,46.96032035
,Logistic Regression,0.8,0.4,0.1,98.32544594,53.33090644
,Logistic Regression,0.8,0.1,0.15,97.88860575,35.12923189
,Logistic Regression,0.8,0.15,0.15,98.03421915,37.42264288
,Logistic Regression,0.8,0.2,0.15,98.10702585,40.6989443
,Logistic Regression,0.8,0.25,0.15,98.17983254,43.50200218
,Logistic Regression,0.8,0.3,0.15,98.28904259,46.96032035
,Logistic Regression,0.8,0.4,0.15,98.43465599,53.94976338
,Logistic Regression,0.85,0.1,0.01,98.72588278,40.37131416
,Logistic Regression,0.85,0.15,0.01,98.61667273,41.68183473
,Logistic Regression,0.85,0.2,0.01,98.68947943,44.52129596
,Logistic Regression,0.85,0.25,0.01,98.76228613,47.50637059
,Logistic Regression,0.85,0.3,0.01,98.87149618,50.52784856
,Logistic Regression,0.85,0.4,0.01,98.76228613,56.57080451
,Logistic Regression,0.85,0.1,0.03,98.72588278,40.51692756
,Logistic Regression,0.85,0.15,0.03,98.72588278,42.59191846
,Logistic Regression,0.85,0.2,0.03,98.68947943,44.66690936
,Logistic Regression,0.85,0.25,0.03,98.79868948,47.90680743
,Logistic Regression,0.85,0.3,0.03,98.83509283,50.60065526
,Logistic Regression,0.85,0.4,0.03,98.79868948,56.75282126
,Logistic Regression,0.85,0.1,0.05,98.76228613,40.9173644
,Logistic Regression,0.85,0.15,0.05,98.65307608,42.73753185
,Logistic Regression,0.85,0.2,0.05,98.72588278,45.03094285
,Logistic Regression,0.85,0.25,0.05,98.76228613,47.94321078
,Logistic Regression,0.85,0.3,0.05,98.87149618,50.8554787
,Logistic Regression,0.85,0.4,0.05,98.79868948,56.82562796
,Logistic Regression,0.85,0.1,0.08,98.72588278,41.09938114
,Logistic Regression,0.85,0.15,0.08,98.72588278,42.95595195
,Logistic Regression,0.85,0.2,0.08,98.72588278,45.17655624
,Logistic Regression,0.85,0.25,0.08,98.79868948,48.19803422
,Logistic Regression,0.85,0.3,0.08,98.87149618,50.8554787
,Logistic Regression,0.85,0.4,0.08,98.87149618,56.97124135
,Logistic Regression,0.85,0.1,0.1,98.68947943,41.49981798
,Logistic Regression,0.85,0.15,0.1,98.76228613,43.17437204
,Logistic Regression,0.85,0.2,0.1,98.72588278,45.43137969
