,model,threshold,split_1,split_2,accuracy,human effort
85,Decision Tree,0.9,0.15,0.05,89.18820531488898,14.998179832544594
86,Decision Tree,0.9,0.2,0.05,89.11539861667273,19.985438660356753
87,Decision Tree,0.9,0.25,0.05,90.42591918456498,24.97269748816891
88,Decision Tree,0.9,0.3,0.05,90.60793593010557,29.996359665089187
89,Decision Tree,0.9,0.4,0.05,91.55442300691664,39.970877320713505
90,Decision Tree,0.9,0.1,0.08,88.86057517291592,9.974517655624318
91,Decision Tree,0.9,0.15,0.08,88.96978522024027,14.998179832544594
92,Decision Tree,0.9,0.2,0.08,89.47943210775391,19.985438660356753
93,Decision Tree,0.9,0.25,0.08,90.71714597742992,24.97269748816891
94,Decision Tree,0.9,0.3,0.08,90.35311248634875,29.996359665089187
95,Decision Tree,0.9,0.4,0.08,91.84564979978158,39.970877320713505
96,Decision Tree,0.9,0.1,0.1,88.78776847469967,9.974517655624318
97,Decision Tree,0.9,0.15,0.1,88.86057517291592,14.998179832544594
98,Decision Tree,0.9,0.2,0.1,88.89697852202403,19.985438660356753
99,Decision Tree,0.9,0.25,0.1,90.64433927921368,24.97269748816891
100,Decision Tree,0.9,0.3,0.1,90.2439024390244,29.996359665089187
101,Decision Tree,0.9,0.4,0.1,92.20968329086276,39.970877320713505
102,Decision Tree,0.9,0.1,0.15,88.60575172915908,9.974517655624318
103,Decision Tree,0.9,0.15,0.15,88.96978522024027,14.998179832544594
104,Decision Tree,0.9,0.2,0.15,88.96978522024027,19.985438660356753
105,Decision Tree,0.9,0.25,0.15,90.38951583545686,24.97269748816891
106,Decision Tree,0.9,0.3,0.15,90.35311248634875,29.996359665089187
107,Decision Tree,0.9,0.4,0.15,91.55442300691664,39.970877320713505
108,Decision Tree,0.95,0.1,0.01,88.89697852202403,9.974517655624318
109,Decision Tree,0.95,0.15,0.01,89.0425919184565,14.998179832544594
110,Decision Tree,0.95,0.2,0.01,88.82417182380779,19.985438660356753
111,Decision Tree,0.95,0.25,0.01,90.97196942118676,24.97269748816891
112,Decision Tree,0.95,0.3,0.01,90.0618856934838,29.996359665089187
113,Decision Tree,0.95,0.4,0.01,91.91845649799781,39.970877320713505
114,Decision Tree,0.95,0.1,0.03,88.60575172915908,9.974517655624318
115,Decision Tree,0.95,0.15,0.03,89.0425919184565,14.998179832544594
116,Decision Tree,0.95,0.2,0.03,88.89697852202403,19.985438660356753
117,Decision Tree,0.95,0.25,0.03,90.35311248634875,24.97269748816891
118,Decision Tree,0.95,0.3,0.03,89.98907899526756,29.996359665089187
119,Decision Tree,0.95,0.4,0.03,91.91845649799781,39.970877320713505
120,Decision Tree,0.95,0.1,0.05,88.31452493629413,9.974517655624318
121,Decision Tree,0.95,0.15,0.05,88.86057517291592,14.998179832544594
122,Decision Tree,0.95,0.2,0.05,89.07899526756462,19.985438660356753
123,Decision Tree,0.95,0.25,0.05,90.49872588278122,24.97269748816891
124,Decision Tree,0.95,0.3,0.05,90.2439024390244,29.996359665089187
125,Decision Tree,0.95,0.4,0.05,92.02766654532218,39.970877320713505
126,Decision Tree,0.95,0.1,0.08,88.71496177648343,9.974517655624318
127,Decision Tree,0.95,0.15,0.08,88.60575172915908,14.998179832544594
128,Decision Tree,0.95,0.2,0.08,88.60575172915908,19.985438660356753
129,Decision Tree,0.95,0.25,0.08,90.42591918456498,24.97269748816891
130,Decision Tree,0.95,0.3,0.08,90.17109574080816,29.996359665089187
131,Decision Tree,0.95,0.4,0.08,91.73643975245723,39.970877320713505
132,Decision Tree,0.95,0.1,0.1,88.24171823807791,9.974517655624318
133,Decision Tree,0.95,0.15,0.1,88.89697852202403,14.998179832544594
134,Decision Tree,0.95,0.2,0.1,89.07899526756462,19.985438660356753
135,Decision Tree,0.95,0.25,0.1,90.75354932653804,24.97269748816891
136,Decision Tree,0.95,0.3,0.1,90.17109574080816,29.996359665089187
137,Decision Tree,0.95,0.4,0.1,91.8820531488897,39.970877320713505
138,Decision Tree,0.95,0.1,0.15,88.60575172915908,9.974517655624318
139,Decision Tree,0.95,0.15,0.15,88.86057517291592,14.998179832544594
140,Decision Tree,0.95,0.2,0.15,89.00618856934838,19.985438660356753
141,Decision Tree,0.95,0.25,0.15,90.86275937386239,24.97269748816891
142,Decision Tree,0.95,0.3,0.15,90.13469239170004,29.996359665089187
143,Decision Tree,0.95,0.4,0.15,92.20968329086276,39.970877320713505
144,Decision Tree,0.99,0.1,0.01,88.27812158718602,9.974517655624318
145,Decision Tree,0.99,0.15,0.01,88.89697852202403,14.998179832544594
146,Decision Tree,0.99,0.2,0.01,88.96978522024027,19.985438660356753
147,Decision Tree,0.99,0.25,0.01,90.57153258099746,24.97269748816891
148,Decision Tree,0.99,0.3,0.01,90.49872588278122,29.996359665089187
149,Decision Tree,0.99,0.4,0.01,92.06406989443029,39.970877320713505
150,Decision Tree,0.99,0.1,0.03,88.71496177648343,9.974517655624318
151,Decision Tree,0.99,0.15,0.03,88.82417182380779,14.998179832544594
