,0
psnr,0.474489445
cpl,-0.587746106
cs,0.781344676
ssim,0.549287947
4,-0.232852401
5,-0.269188161
6,-0.073854723
7,-0.369407926
8,-0.425071366
9,0.167494108
10,0.187957425
vae,0.022295332
vif,0.707968829
vae2d,0.165160302
