,0
PSNR,-0.07788734972105925
CPL,0.0700499444785462
CS,-0.07141926778563575
SSIM,-0.083402404908804
MSE,0.019409603556119127
WD,0.06932970427058226
KL,
SSS1,0.0013359019521205233
TSI,0.12173293945532962
VAE,-0.016096145190258183
Hist_correlation,0.08014387590932268
Hist_intersection,0.010085705559189119
VIF,-0.06933933529901558
