,0,1,2,3,4,5,6,7,8,9,10,11,12
PSNR,1.0,-0.5099380472984852,0.7206800656418132,0.7500357679811829,0.2707565779328228,-0.8177520082432389,,-0.3596798055580645,-0.4920469582038964,-0.195017326722411,0.6652355782797942,0.7237894723632716,0.8493009082323776
CPL,-0.5099380472984852,1.0,-0.6088747421180721,-0.39268894527517173,0.09944613715308209,0.35572167530373155,,0.3677921391702848,0.28652649419777926,0.3425202869437594,-0.27283765640065666,-0.22207619690913866,-0.506626201067025
CS,0.7206800656418132,-0.6088747421180721,1.0,0.6691830297883908,0.18025946349872146,-0.6444142831747063,,-0.328835198653892,-0.5177469436142013,0.027083227064981452,0.40798659500501455,0.5518221664067122,0.6704887612410217
SSIM,0.7500357679811829,-0.3926889452751718,0.6691830297883908,1.0,0.3969745272566323,-0.7633147210228312,,-0.286330100186113,-0.7058607671275037,0.07289589125541661,0.49103613962908765,0.7329813529063405,0.8426564838003388
MSE,0.27075657793282276,0.09944613715308209,0.18025946349872143,0.39697452725663224,1.0,-0.5531871675775281,,0.018391231685013665,-0.3593289323637914,0.2265483764637986,0.43841494858792657,0.4800135403692237,0.2609612519862722
WD,-0.8177520082432389,0.35572167530373155,-0.6444142831747063,-0.7633147210228313,-0.553187167577528,1.0,,0.24018913658396257,0.5256714996646372,0.008920794634257535,-0.7582928007780756,-0.8250360674845763,-0.68904011832984
KL,,,,,,,,,,,,,
SSS1,-0.3596798055580645,0.3677921391702848,-0.32883519865389194,-0.286330100186113,0.018391231685013665,0.2401891365839626,,1.0,0.25263416714741127,0.15312856505026,-0.1600950215816881,-0.15368565049767527,-0.27645586077301165
TSI,-0.4920469582038964,0.28652649419777926,-0.5177469436142013,-0.7058607671275037,-0.35932893236379143,0.5256714996646371,,0.25263416714741127,1.0,-0.16834820348301016,-0.2725852732651302,-0.44750800573730615,-0.61684421359885
VAE,-0.19501732672241104,0.3425202869437594,0.027083227064981452,0.07289589125541661,0.22654837646379863,0.008920794634257533,,0.15312856505025998,-0.1683482034830102,1.0,-0.1042020683797454,0.16624432952850035,-0.1694006810433602
Hist_correlation,0.6652355782797942,-0.27283765640065666,0.4079865950050146,0.49103613962908765,0.43841494858792657,-0.7582928007780756,,-0.16009502158168812,-0.2725852732651302,-0.1042020683797454,1.0,0.7853159859335049,0.5019047380001136
Hist_intersection,0.7237894723632716,-0.22207619690913866,0.5518221664067123,0.7329813529063404,0.4800135403692237,-0.8250360674845763,,-0.15368565049767527,-0.4475080057373062,0.16624432952850035,0.7853159859335048,1.0,0.6415204991864378
VIF,0.8493009082323776,-0.506626201067025,0.6704887612410217,0.8426564838003388,0.26096125198627224,-0.6890401183298399,,-0.2764558607730116,-0.61684421359885,-0.16940068104336023,0.5019047380001136,0.6415204991864378,1.0
