Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,original,high_rain,high_fog,light_fog,moderate_fog,HF_PSNR,LF_PSNR,MF_PSNR,HF_SSIM,LF_SSIM,MF_SSIM,HF_CPL,LF_CPL,MF_CPL,HF_CS,LF_CS,MF_CS,MF_SSS1,HF_KL,HF_MSE,HF_WD,MF_WD,MF_MSE,MF_KL,MF_TSI
659,659,659,659,659,659,659,659,659,659,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1775F161_659.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\7815_1775F161_659_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_1775F161_659_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1775F161_659_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_1775F161_659_torchvision.jpg,25.36349557,19.65682015,19.28662655,0.934022245,0.882843234,0.799515217,19.095453,45.944344,44.466106,0.8048913,0.522415,0.43640482,0.035467036,inf,19.200701904296874,2.285040283203125,10.131793212890626,44.84255777994792,0.0034101402692534,2.3675880626223087
660,660,660,660,660,660,660,660,660,660,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1775G332_660.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\7815_1775G332_660_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_1775G332_660_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1775G332_660_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_1775G332_660_torchvision.jpg,15.4310958,15.06976406,18.45658407,0.8423734,0.813076872,0.887389715,56.21978,62.80298,34.855553,0.3741213,0.10169417,0.70039225,0.013065103,inf,42.06207275390625,8.801257324218751,6.510131835937501,27.404327392578125,0.3307594649400374,0.525495352250489
661,661,661,661,661,661,661,661,661,661,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1776G402_661.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\7815_1776G402_661_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_1776G402_661_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1776G402_661_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_1776G402_661_torchvision.jpg,16.41370456,21.77509595,17.01936633,0.89194221,0.927429383,0.893490432,23.534782,13.838101,23.102057,0.8402231,0.8997594,0.8241383,0.010354491,1.0199510329558783,36.18246663411458,22.96373291015625,17.591918945312496,44.05233154296875,inf,1.4099559686888448
662,662,662,662,662,662,662,662,662,662,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1776R262_662.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\7815_1776R262_662_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_1776R262_662_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1776R262_662_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_1776R262_662_torchvision.jpg,11.21034185,19.14343006,15.41185222,0.816134166,0.941788914,0.892168588,40.576763,12.679075,31.201572,0.47027072,0.8588267,0.6476954,0.011376862,1.77556030383719,51.31697184244792,39.986883544921895,27.93395385742188,40.37403361002604,1.5964562449604174,0.0050758317025438
663,663,663,663,663,663,663,663,663,663,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1776R262_663.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\7815_1776R262_663_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_1776R262_663_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1776R262_663_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_1776R262_663_torchvision.jpg,12.9566038,10.62244928,12.7574091,0.868805778,0.728929693,0.829853993,20.683983,50.37887,30.482086,0.78379536,0.15168135,0.6157394,0.03573287,1.4502661758140112,53.473732503255206,30.46924438476563,24.567059326171883,53.72515665690104,inf,1.4088184931506849
664,664,664,664,664,664,664,664,664,664,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1866F861_664.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\7815_1866F861_664_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_1866F861_664_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1866F861_664_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_1866F861_664_torchvision.jpg,17.65463282,17.43864895,20.26232967,0.904702686,0.886349906,0.935012095,17.418842,25.277323,48.994514,0.88940156,0.8264567,0.6754775,0.028076319,inf,67.31304931640625,21.37933349609376,4.5406860351562495,45.40969645182292,0.000880587099906,0.4878730430528373
665,665,665,665,665,665,665,665,665,665,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1866G461_665.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\7815_1866G461_665_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_1866G461_665_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1866G461_665_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_1866G461_665_torchvision.jpg,20.78406717,26.99446519,14.24384734,0.887582059,0.933377885,0.733968959,25.371525,11.007297,62.49476,0.8087358,0.9206522,0.3837582,0.036546476,0.1552294338284094,28.16786499023437,8.315338134765625,23.860894775390623,18.745808919270832,inf,2.67386252446184
666,666,666,666,666,666,666,666,666,666,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_18692902_666.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\7815_18692902_666_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_18692902_666_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_18692902_666_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_18692902_666_torchvision.jpg,24.04121051,23.683792,22.07935089,0.943964654,0.957108474,0.901852965,5.1004815,6.272192,15.134476,0.9592019,0.9513202,0.8699144,0.03715274,1.3422194339208926,49.202073160807295,6.887646484375002,13.088494873046873,28.065909830729165,1.9164069163692408,0.6338918786692767
667,667,667,667,667,667,667,667,667,667,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1870D831_667.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\7815_1870D831_667_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_1870D831_667_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1870D831_667_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_1870D831_667_torchvision.jpg,18.89004432,15.20073296,18.48737142,0.856493403,0.754545702,0.851046845,27.841751,34.278877,26.321283,0.3543621,0.067253925,0.455665,0.028395006,0.2167004592276543,13.086610921223958,10.571600341796875,17.387530517578124,82.7906270345052,0.0703580841030307,0.1886986301369864
668,668,668,668,668,668,668,668,668,668,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1871P741_668.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\7815_1871P741_668_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_1871P741_668_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1871P741_668_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_1871P741_668_torchvision.jpg,20.90530398,22.70604669,21.01881531,0.883966243,0.909253646,0.90335483,23.775105,21.034397,19.700384,0.8819547,0.89506114,0.9017087,0.005313345,0.6277138432592148,30.80404663085937,12.416552734375,9.25592041015625,25.582029215494792,0.3846916817760376,0.4373532289628192
