,Correlation,p_val
PSNR,0.190436109,0.000339891
CPL,-0.123776284,0.02054341
CS,0.282674916,7.47E-08
SSIM,0.363179098,2.37E-12
MSE,-0.102627287,0.055088201
WD,-0.181174269,0.000660284
KL,-0.075133899,0.160741716
TSI,-0.234232025,9.50E-06
VAE,0.211223099,6.82E-05
Hist_correlation,0.115772709,0.030353448
Hist_intersection,0.286881585,4.68E-08
VIF,0.250764012,2.03E-06
