,0
PNSR,0.62914939
CPL,-0.689395044
CS,0.835555381
SSIM,0.577747625
MSE,-0.207931311
WD,-0.316167414
KL,-0.160779554
SSS,-0.429272051
TSI,-0.492848016
HIST1,0.058272112
HIST2,0.289683658
VAE,0.1290833
