model,config,effort,small accuracy,precision,small recall,accuracy,F1,F1-Score,recall
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.895196507,0.893970894,0.953436807,89.5196507,0.461373391,0.922746782,95.3436807
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.901018923,0.9030837,0.944700461,90.1018923,0.461711712,0.923423424,94.4700461
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.909752547,0.924731183,0.940919037,90.9752547,0.46637744,0.93275488,94.0919037
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.91411936,0.914893617,0.957683742,91.411936,0.467899891,0.935799782,95.7683742
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.919941776,0.922431866,0.96069869,91.9941776,0.470588235,0.94117647,96.069869
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.911208151,0.917021277,0.951434879,91.1208151,0.46695558,0.93391116,95.1434879
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.915574964,0.929046563,0.941573034,91.5574964,0.467633929,0.935267858,94.1573034
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.911208151,0.917391304,0.948314607,91.1208151,0.466298343,0.932596686,94.8314607
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.902474527,0.898488121,0.95412844,90.2474527,0.462736374,0.925472748,95.412844
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.88937409,0.894736842,0.935779817,88.937409,0.457399103,0.914798206,93.5779817
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.912663755,0.929936306,0.941935484,91.2663755,0.467948718,0.935897436,94.1935484
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.899563319,0.895089286,0.947990544,89.9563319,0.460390356,0.920780712,94.7990544
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.890829694,0.898706897,0.937078652,89.0829694,0.458745875,0.91749175,93.7078652
SVM,"['PSNR', 'CS', 'CPL']",0.75,0.924308588,0.919389978,0.965675057,92.4308588,0.470982143,0.941964286,96.5675057
