model,threshold,split_1,split_2,accuracy,human effort
Random Forest,0.9,0.25,0.15,98.32544594,46.55988351
Random Forest,0.9,0.3,0.15,98.50746269,50.38223517
Random Forest,0.9,0.4,0.15,98.79868948,57.62650164
Random Forest,0.95,0.1,0.01,97.7793957,34.51037495
Random Forest,0.95,0.15,0.01,97.7793957,37.24062614
Random Forest,0.95,0.2,0.01,98.1434292,43.61121223
Random Forest,0.95,0.25,0.01,98.68947943,48.56206771
Random Forest,0.95,0.3,0.01,98.79868948,52.42082272
Random Forest,0.95,0.4,0.01,98.87149618,59.1554423
Random Forest,0.95,0.1,0.03,97.9250091,36.33054241
Random Forest,0.95,0.15,0.03,98.1434292,39.71605388
Random Forest,0.95,0.2,0.03,98.32544594,46.15944667
Random Forest,0.95,0.25,0.03,98.68947943,50.30942847
Random Forest,0.95,0.3,0.03,99.05351292,54.05897343
Random Forest,0.95,0.4,0.03,99.05351292,60.57517292
Random Forest,0.95,0.1,0.05,98.03421915,37.60465963
Random Forest,0.95,0.15,0.05,98.28904259,41.31780124
Random Forest,0.95,0.2,0.05,98.43465599,46.96032035
Random Forest,0.95,0.25,0.05,98.83509283,51.51073899
Random Forest,0.95,0.3,0.05,98.98070622,54.89625046
Random Forest,0.95,0.4,0.05,99.16272297,61.2304332
Random Forest,0.95,0.1,0.08,98.61667273,39.78886058
Random Forest,0.95,0.15,0.08,98.32544594,42.22788497
Random Forest,0.95,0.2,0.08,98.65307608,47.97961412
Random Forest,0.95,0.25,0.08,98.94430288,52.89406625
Random Forest,0.95,0.3,0.08,99.16272297,56.09756098
Random Forest,0.95,0.4,0.08,99.23552967,61.95850018
Random Forest,0.95,0.1,0.1,98.50746269,40.6261376
Random Forest,0.95,0.15,0.1,98.28904259,42.22788497
Random Forest,0.95,0.2,0.1,98.58026938,48.81689115
Random Forest,0.95,0.25,0.1,98.94430288,53.11248635
Random Forest,0.95,0.3,0.1,99.23552967,56.24317437
Random Forest,0.95,0.4,0.1,99.30833637,62.32253367
Random Forest,0.95,0.1,0.15,98.61667273,41.64543138
Random Forest,0.95,0.15,0.15,98.50746269,44.19366582
Random Forest,0.95,0.2,0.15,98.65307608,50.45504186
Random Forest,0.95,0.25,0.15,98.94430288,54.67783036
Random Forest,0.95,0.3,0.15,99.34473972,57.84492173
Random Forest,0.95,0.4,0.15,99.30833637,63.26902075
Random Forest,0.99,0.1,0.01,98.98070622,48.56206771
Random Forest,0.99,0.15,0.01,99.38114307,54.24099017
Random Forest,0.99,0.2,0.01,99.49035311,58.60939206
Random Forest,0.99,0.25,0.01,99.49035311,61.95850018
Random Forest,0.99,0.3,0.01,99.59956316,64.47033127
Random Forest,0.99,0.4,0.01,99.56315981,68.94794321
Random Forest,0.99,0.1,0.03,99.19912632,52.96687295
Random Forest,0.99,0.15,0.03,99.56315981,57.2988715
Random Forest,0.99,0.2,0.03,99.59956316,61.55806334
Random Forest,0.99,0.25,0.03,99.67236986,64.43392792
Random Forest,0.99,0.3,0.03,99.78157991,66.83654896
Random Forest,0.99,0.4,0.03,99.59956316,70.69530397
Random Forest,0.99,0.1,0.05,99.34473972,55.0054605
Random Forest,0.99,0.15,0.05,99.56315981,58.68219876
Random Forest,0.99,0.2,0.05,99.63596651,62.97779396
Random Forest,0.99,0.25,0.05,99.78157991,66.14488533
Random Forest,0.99,0.3,0.05,99.74517656,67.92864944
Random Forest,0.99,0.4,0.05,99.59956316,71.86021114
Random Forest,0.99,0.1,0.08,99.56315981,57.55369494
Random Forest,0.99,0.15,0.08,99.59956316,61.26683655
Random Forest,0.99,0.2,0.08,99.74517656,64.57954132
Random Forest,0.99,0.25,0.08,99.74517656,67.3825992
Random Forest,0.99,0.3,0.08,99.74517656,69.02074991
Random Forest,0.99,0.4,0.08,99.67236986,73.13432836
Random Forest,0.99,0.1,0.1,99.56315981,57.73571169
Random Forest,0.99,0.15,0.1,99.67236986,61.95850018
Random Forest,0.99,0.2,0.1,99.74517656,65.05278486
Random Forest,0.99,0.25,0.1,99.78157991,68.11066618
Random Forest,0.99,0.3,0.1,99.78157991,70.51328722
Random Forest,0.99,0.4,0.1,99.67236986,73.71678194
Random Forest,0.99,0.1,0.15,99.52675646,59.48307244
Random Forest,0.99,0.15,0.15,99.59956316,63.63305424
Random Forest,0.99,0.2,0.15,99.78157991,67.34619585
Random Forest,0.99,0.25,0.15,99.74517656,68.80232981
Random Forest,0.99,0.3,0.15,99.81798325,71.71459774
Random Forest,0.99,0.4,0.15,99.70877321,74.22642883
