,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
103,Decision Tree,0.9,0.15,0.15,89.14233577,89.29049531,94.47592068,14.96350365,Decision Tree
150,Decision Tree,0.99,0.1,0.03,89.14233577,92.47467438,90.50991501,9.945255474,Decision Tree
30,Decision Tree,0.8,0.1,0.15,89.23357664,92.36311239,90.79320113,9.945255474,Decision Tree
42,Decision Tree,0.85,0.1,0.03,89.23357664,92.36311239,90.79320113,9.945255474,Decision Tree
55,Decision Tree,0.85,0.15,0.08,89.23357664,90.38461538,93.20113314,14.96350365,Decision Tree
66,Decision Tree,0.85,0.1,0.15,89.23357664,92.36311239,90.79320113,9.945255474,Decision Tree
96,Decision Tree,0.9,0.1,0.1,89.23357664,92.48554913,90.65155807,9.945255474,Decision Tree
126,Decision Tree,0.95,0.1,0.08,89.23357664,92.36311239,90.79320113,9.945255474,Decision Tree
133,Decision Tree,0.95,0.15,0.1,89.23357664,89.51612903,94.33427762,14.96350365,Decision Tree
138,Decision Tree,0.95,0.1,0.15,89.23357664,92.36311239,90.79320113,9.945255474,Decision Tree
144,Decision Tree,0.99,0.1,0.01,89.23357664,92.48554913,90.65155807,9.945255474,Decision Tree
156,Decision Tree,0.99,0.1,0.05,89.23357664,92.24137931,90.93484419,9.945255474,Decision Tree
162,Decision Tree,0.99,0.1,0.08,89.23357664,92.12034384,91.07648725,9.945255474,Decision Tree
163,Decision Tree,0.99,0.15,0.08,89.23357664,90.38461538,93.20113314,14.96350365,Decision Tree
7,Decision Tree,0.8,0.15,0.03,89.32481752,90.39780521,93.3427762,14.96350365,Decision Tree
37,Decision Tree,0.85,0.15,0.01,89.32481752,90.62068966,93.05949008,14.96350365,Decision Tree
97,Decision Tree,0.9,0.15,0.1,89.32481752,89.63660834,94.33427762,14.96350365,Decision Tree
115,Decision Tree,0.95,0.15,0.03,89.32481752,90.62068966,93.05949008,14.96350365,Decision Tree
127,Decision Tree,0.95,0.15,0.08,89.32481752,90.39780521,93.3427762,14.96350365,Decision Tree
43,Decision Tree,0.85,0.15,0.03,89.41605839,90.63360882,93.20113314,14.96350365,Decision Tree
1,Decision Tree,0.8,0.15,0.01,89.50729927,90.64649243,93.3427762,14.96350365,Decision Tree
6,Decision Tree,0.8,0.1,0.03,89.50729927,92.88824383,90.65155807,9.945255474,Decision Tree
19,Decision Tree,0.8,0.15,0.08,89.50729927,89.66442953,94.61756374,14.96350365,Decision Tree
67,Decision Tree,0.85,0.15,0.15,89.50729927,91.09874826,92.77620397,14.96350365,Decision Tree
120,Decision Tree,0.95,0.1,0.05,89.50729927,92.88824383,90.65155807,9.945255474,Decision Tree
54,Decision Tree,0.85,0.1,0.08,89.59854015,92.77456647,90.93484419,9.945255474,Decision Tree
60,Decision Tree,0.85,0.1,0.1,89.59854015,92.77456647,90.93484419,9.945255474,Decision Tree
79,Decision Tree,0.9,0.15,0.03,89.59854015,89.67828418,94.7592068,14.96350365,Decision Tree
132,Decision Tree,0.95,0.1,0.1,89.59854015,92.89855072,90.79320113,9.945255474,Decision Tree
169,Decision Tree,0.99,0.15,0.1,89.59854015,90.43715847,93.76770538,14.96350365,Decision Tree
61,Decision Tree,0.85,0.15,0.1,89.68978102,90.67215364,93.62606232,14.96350365,Decision Tree
121,Decision Tree,0.95,0.15,0.05,89.68978102,90.67215364,93.62606232,14.96350365,Decision Tree
151,Decision Tree,0.99,0.15,0.03,89.68978102,90.67215364,93.62606232,14.96350365,Decision Tree
31,Decision Tree,0.8,0.15,0.15,89.7810219,89.91935484,94.7592068,14.96350365,Decision Tree
49,Decision Tree,0.85,0.15,0.05,89.7810219,90.35326087,94.19263456,14.96350365,Decision Tree
109,Decision Tree,0.95,0.15,0.01,89.7810219,91.59663866,92.63456091,14.96350365,Decision Tree
13,Decision Tree,0.8,0.15,0.05,89.87226277,91.60839161,92.77620397,14.96350365,Decision Tree
136,Decision Tree,0.95,0.3,0.1,90.41970803,93.1133429,91.92634561,29.9270073,Decision Tree
154,Decision Tree,0.99,0.3,0.03,90.51094891,93,92.20963173,29.9270073,Decision Tree
142,Decision Tree,0.95,0.3,0.15,90.60218978,92.88762447,92.49291785,29.9270073,Decision Tree
33,Decision Tree,0.8,0.25,0.15,90.69343066,92.77620397,92.77620397,25,Decision Tree
10,Decision Tree,0.8,0.3,0.03,90.78467153,93.02987198,92.63456091,29.9270073,Decision Tree
40,Decision Tree,0.85,0.3,0.01,90.78467153,93.02987198,92.63456091,29.9270073,Decision Tree
52,Decision Tree,0.85,0.3,0.05,90.78467153,92.90780142,92.77620397,29.9270073,Decision Tree
64,Decision Tree,0.85,0.3,0.1,90.78467153,93.15263909,92.49291785,29.9270073,Decision Tree
82,Decision Tree,0.9,0.3,0.03,90.78467153,93.02987198,92.63456091,29.9270073,Decision Tree
