model,threshold,split_1,split_2,accuracy,human effort
Decision Tree,0.9,0.1,0.15,89.22460866,9.974517656
Decision Tree,0.9,0.15,0.15,89.6250455,14.99817983
Decision Tree,0.9,0.2,0.15,89.55223881,19.98543866
Decision Tree,0.9,0.25,0.15,89.8434656,24.97269749
Decision Tree,0.9,0.3,0.15,90.60793593,29.99635967
Decision Tree,0.9,0.4,0.15,92.64652348,39.97087732
Decision Tree,0.95,0.1,0.01,89.04259192,9.974517656
Decision Tree,0.95,0.15,0.01,89.15180197,14.99817983
Decision Tree,0.95,0.2,0.01,88.96978522,19.98543866
Decision Tree,0.95,0.25,0.01,90.35311249,24.97269749
Decision Tree,0.95,0.3,0.01,90.71714598,29.99635967
Decision Tree,0.95,0.4,0.01,92.13687659,39.97087732
Decision Tree,0.95,0.1,0.03,88.78776847,9.974517656
Decision Tree,0.95,0.15,0.03,88.93338187,14.99817983
Decision Tree,0.95,0.2,0.03,89.11539862,19.98543866
Decision Tree,0.95,0.25,0.03,90.20749909,24.97269749
Decision Tree,0.95,0.3,0.03,90.71714598,29.99635967
Decision Tree,0.95,0.4,0.03,92.68292683,39.97087732
Decision Tree,0.95,0.1,0.05,88.86057517,9.974517656
Decision Tree,0.95,0.15,0.05,89.66144885,14.99817983
Decision Tree,0.95,0.2,0.05,89.07899527,19.98543866
Decision Tree,0.95,0.25,0.05,90.13469239,24.97269749
Decision Tree,0.95,0.3,0.05,90.71714598,29.99635967
Decision Tree,0.95,0.4,0.05,92.31889334,39.97087732
Decision Tree,0.95,0.1,0.08,88.89697852,9.974517656
Decision Tree,0.95,0.15,0.08,89.15180197,14.99817983
Decision Tree,0.95,0.2,0.08,89.26101201,19.98543866
Decision Tree,0.95,0.25,0.08,89.95267565,24.97269749
Decision Tree,0.95,0.3,0.08,90.60793593,29.99635967
Decision Tree,0.95,0.4,0.08,92.24608664,39.97087732
Decision Tree,0.95,0.1,0.1,89.47943211,9.974517656
Decision Tree,0.95,0.15,0.1,88.82417182,14.99817983
Decision Tree,0.95,0.2,0.1,88.46013833,19.98543866
Decision Tree,0.95,0.25,0.1,89.6250455,24.97269749
Decision Tree,0.95,0.3,0.1,90.49872588,29.99635967
Decision Tree,0.95,0.4,0.1,92.20968329,39.97087732
Decision Tree,0.95,0.1,0.15,88.82417182,9.974517656
Decision Tree,0.95,0.15,0.15,89.22460866,14.99817983
Decision Tree,0.95,0.2,0.15,89.55223881,19.98543866
Decision Tree,0.95,0.25,0.15,90.31670914,24.97269749
Decision Tree,0.95,0.3,0.15,90.49872588,29.99635967
Decision Tree,0.95,0.4,0.15,92.06406989,39.97087732
Decision Tree,0.99,0.1,0.01,88.86057517,9.974517656
Decision Tree,0.99,0.15,0.01,89.15180197,14.99817983
Decision Tree,0.99,0.2,0.01,88.96978522,19.98543866
Decision Tree,0.99,0.25,0.01,89.58864216,24.97269749
Decision Tree,0.99,0.3,0.01,90.49872588,29.99635967
Decision Tree,0.99,0.4,0.01,92.71933018,39.97087732
Decision Tree,0.99,0.1,0.03,89.04259192,9.974517656
Decision Tree,0.99,0.15,0.03,89.11539862,14.99817983
Decision Tree,0.99,0.2,0.03,89.6250455,19.98543866
Decision Tree,0.99,0.25,0.03,89.95267565,24.97269749
Decision Tree,0.99,0.3,0.03,90.60793593,29.99635967
Decision Tree,0.99,0.4,0.03,92.31889334,39.97087732
Decision Tree,0.99,0.1,0.05,88.86057517,9.974517656
Decision Tree,0.99,0.15,0.05,89.33381871,14.99817983
Decision Tree,0.99,0.2,0.05,89.40662541,19.98543866
Decision Tree,0.99,0.25,0.05,90.60793593,24.97269749
Decision Tree,0.99,0.3,0.05,90.57153258,29.99635967
Decision Tree,0.99,0.4,0.05,92.31889334,39.97087732
Decision Tree,0.99,0.1,0.08,88.53294503,9.974517656
Decision Tree,0.99,0.15,0.08,88.93338187,14.99817983
Decision Tree,0.99,0.2,0.08,89.33381871,19.98543866
Decision Tree,0.99,0.25,0.08,90.02548234,24.97269749
Decision Tree,0.99,0.3,0.08,90.46232253,29.99635967
Decision Tree,0.99,0.4,0.08,92.28248999,39.97087732
Decision Tree,0.99,0.1,0.1,89.18820531,9.974517656
Decision Tree,0.99,0.15,0.1,89.11539862,14.99817983
Decision Tree,0.99,0.2,0.1,88.75136513,19.98543866
Decision Tree,0.99,0.25,0.1,90.20749909,24.97269749
Decision Tree,0.99,0.3,0.1,90.49872588,29.99635967
Decision Tree,0.99,0.4,0.1,91.9184565,39.97087732
Decision Tree,0.99,0.1,0.15,88.86057517,9.974517656
Decision Tree,0.99,0.15,0.15,89.18820531,14.99817983
Decision Tree,0.99,0.2,0.15,89.29741536,19.98543866
Decision Tree,0.99,0.25,0.15,89.9162723,24.97269749
Decision Tree,0.99,0.3,0.15,90.60793593,29.99635967
Decision Tree,0.99,0.4,0.15,92.46450673,39.97087732
