,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
39,Logistic Regression,0.85,0.25,0.01,99.27007299,99.15492958,99.71671388,52.46350365,Logistic Regression
45,Logistic Regression,0.85,0.25,0.03,99.27007299,99.15492958,99.71671388,52.82846715,Logistic Regression
46,Logistic Regression,0.85,0.3,0.03,99.27007299,99.15492958,99.71671388,54.83576642,Logistic Regression
51,Logistic Regression,0.85,0.25,0.05,99.27007299,99.15492958,99.71671388,52.91970803,Logistic Regression
58,Logistic Regression,0.85,0.3,0.08,99.27007299,99.15492958,99.71671388,55.10948905,Logistic Regression
63,Logistic Regression,0.85,0.25,0.1,99.27007299,99.15492958,99.71671388,53.28467153,Logistic Regression
69,Logistic Regression,0.85,0.25,0.15,99.27007299,99.15492958,99.71671388,53.92335766,Logistic Regression
70,Logistic Regression,0.85,0.3,0.15,99.27007299,99.15492958,99.71671388,55.65693431,Logistic Regression
41,Logistic Regression,0.85,0.4,0.01,99.36131387,99.15611814,99.85835694,59.8540146,Logistic Regression
47,Logistic Regression,0.85,0.4,0.03,99.36131387,99.15611814,99.85835694,60.12773723,Logistic Regression
53,Logistic Regression,0.85,0.4,0.05,99.36131387,99.15611814,99.85835694,60.2189781,Logistic Regression
59,Logistic Regression,0.85,0.4,0.08,99.36131387,99.15611814,99.85835694,60.40145985,Logistic Regression
65,Logistic Regression,0.85,0.4,0.1,99.36131387,99.15611814,99.85835694,60.49270073,Logistic Regression
71,Logistic Regression,0.85,0.4,0.15,99.36131387,99.15611814,99.85835694,60.40145985,Logistic Regression
72,Logistic Regression,0.9,0.1,0.01,99.6350365,99.71671388,99.71671388,57.11678832,Logistic Regression
73,Logistic Regression,0.9,0.15,0.01,99.6350365,99.71671388,99.71671388,56.93430657,Logistic Regression
74,Logistic Regression,0.9,0.2,0.01,99.6350365,99.71671388,99.71671388,59.21532847,Logistic Regression
75,Logistic Regression,0.9,0.25,0.01,99.6350365,99.71671388,99.71671388,61.13138686,Logistic Regression
76,Logistic Regression,0.9,0.3,0.01,99.6350365,99.71671388,99.71671388,62.5,Logistic Regression
78,Logistic Regression,0.9,0.1,0.03,99.6350365,99.71671388,99.71671388,57.48175182,Logistic Regression
79,Logistic Regression,0.9,0.15,0.03,99.6350365,99.71671388,99.71671388,57.29927007,Logistic Regression
80,Logistic Regression,0.9,0.2,0.03,99.6350365,99.71671388,99.71671388,59.58029197,Logistic Regression
81,Logistic Regression,0.9,0.25,0.03,99.6350365,99.71671388,99.71671388,61.58759124,Logistic Regression
82,Logistic Regression,0.9,0.3,0.03,99.6350365,99.71671388,99.71671388,63.13868613,Logistic Regression
84,Logistic Regression,0.9,0.1,0.05,99.6350365,99.71671388,99.71671388,57.84671533,Logistic Regression
85,Logistic Regression,0.9,0.15,0.05,99.6350365,99.71671388,99.71671388,57.39051095,Logistic Regression
86,Logistic Regression,0.9,0.2,0.05,99.6350365,99.71671388,99.71671388,59.76277372,Logistic Regression
87,Logistic Regression,0.9,0.25,0.05,99.6350365,99.71671388,99.71671388,61.40510949,Logistic Regression
88,Logistic Regression,0.9,0.3,0.05,99.6350365,99.71671388,99.71671388,63.32116788,Logistic Regression
90,Logistic Regression,0.9,0.1,0.08,99.6350365,99.71671388,99.71671388,59.30656934,Logistic Regression
91,Logistic Regression,0.9,0.15,0.08,99.6350365,99.71671388,99.71671388,57.66423358,Logistic Regression
92,Logistic Regression,0.9,0.2,0.08,99.6350365,99.71671388,99.71671388,59.76277372,Logistic Regression
93,Logistic Regression,0.9,0.25,0.08,99.6350365,99.71671388,99.71671388,62.5,Logistic Regression
94,Logistic Regression,0.9,0.3,0.08,99.6350365,99.71671388,99.71671388,63.41240876,Logistic Regression
96,Logistic Regression,0.9,0.1,0.1,99.6350365,99.71671388,99.71671388,58.94160584,Logistic Regression
97,Logistic Regression,0.9,0.15,0.1,99.6350365,99.71671388,99.71671388,57.75547445,Logistic Regression
98,Logistic Regression,0.9,0.2,0.1,99.6350365,99.71671388,99.71671388,59.76277372,Logistic Regression
99,Logistic Regression,0.9,0.25,0.1,99.6350365,99.71671388,99.71671388,61.86131387,Logistic Regression
100,Logistic Regression,0.9,0.3,0.1,99.6350365,99.71671388,99.71671388,63.68613139,Logistic Regression
102,Logistic Regression,0.9,0.1,0.15,99.6350365,99.71671388,99.71671388,59.39781022,Logistic Regression
103,Logistic Regression,0.9,0.15,0.15,99.6350365,99.71671388,99.71671388,57.9379562,Logistic Regression
104,Logistic Regression,0.9,0.2,0.15,99.6350365,99.71671388,99.71671388,60.12773723,Logistic Regression
105,Logistic Regression,0.9,0.25,0.15,99.6350365,99.71671388,99.71671388,62.31751825,Logistic Regression
106,Logistic Regression,0.9,0.3,0.15,99.6350365,99.71671388,99.71671388,63.95985401,Logistic Regression
77,Logistic Regression,0.9,0.4,0.01,99.72627737,99.71711457,99.85835694,66.60583942,Logistic Regression
83,Logistic Regression,0.9,0.4,0.03,99.72627737,99.71711457,99.85835694,66.97080292,Logistic Regression
89,Logistic Regression,0.9,0.4,0.05,99.72627737,99.71711457,99.85835694,67.51824818,Logistic Regression
95,Logistic Regression,0.9,0.4,0.08,99.72627737,99.71711457,99.85835694,67.60948905,Logistic Regression
101,Logistic Regression,0.9,0.4,0.1,99.72627737,99.71711457,99.85835694,67.60948905,Logistic Regression
107,Logistic Regression,0.9,0.4,0.15,99.72627737,99.71711457,99.85835694,67.97445255,Logistic Regression
108,Logistic Regression,0.95,0.1,0.01,99.90875912,100,99.85835694,74.72627737,Logistic Regression
109,Logistic Regression,0.95,0.15,0.01,99.90875912,100,99.85835694,74.45255474,Logistic Regression
110,Logistic Regression,0.95,0.2,0.01,99.90875912,100,99.85835694,76.18613139,Logistic Regression
111,Logistic Regression,0.95,0.25,0.01,99.90875912,100,99.85835694,77.37226277,Logistic Regression
112,Logistic Regression,0.95,0.3,0.01,99.90875912,100,99.85835694,78.19343066,Logistic Regression
114,Logistic Regression,0.95,0.1,0.03,99.90875912,100,99.85835694,74.72627737,Logistic Regression
115,Logistic Regression,0.95,0.15,0.03,99.90875912,100,99.85835694,75.3649635,Logistic Regression
116,Logistic Regression,0.95,0.2,0.03,99.90875912,100,99.85835694,76.36861314,Logistic Regression
117,Logistic Regression,0.95,0.25,0.03,99.90875912,100,99.85835694,77.82846715,Logistic Regression
118,Logistic Regression,0.95,0.3,0.03,99.90875912,100,99.85835694,78.55839416,Logistic Regression
120,Logistic Regression,0.95,0.1,0.05,99.90875912,100,99.85835694,75.45620438,Logistic Regression
121,Logistic Regression,0.95,0.15,0.05,99.90875912,100,99.85835694,75.63868613,Logistic Regression
122,Logistic Regression,0.95,0.2,0.05,99.90875912,100,99.85835694,76.45985401,Logistic Regression
123,Logistic Regression,0.95,0.25,0.05,99.90875912,100,99.85835694,78.01094891,Logistic Regression
124,Logistic Regression,0.95,0.3,0.05,99.90875912,100,99.85835694,78.83211679,Logistic Regression
126,Logistic Regression,0.95,0.1,0.08,99.90875912,100,99.85835694,76.36861314,Logistic Regression
127,Logistic Regression,0.95,0.15,0.08,99.90875912,100,99.85835694,76.00364964,Logistic Regression
128,Logistic Regression,0.95,0.2,0.08,99.90875912,100,99.85835694,77.09854015,Logistic Regression
129,Logistic Regression,0.95,0.25,0.08,99.90875912,100,99.85835694,78.28467153,Logistic Regression
130,Logistic Regression,0.95,0.3,0.08,99.90875912,100,99.85835694,79.5620438,Logistic Regression
132,Logistic Regression,0.95,0.1,0.1,99.90875912,100,99.85835694,76.09489051,Logistic Regression
133,Logistic Regression,0.95,0.15,0.1,99.90875912,100,99.85835694,76.55109489,Logistic Regression
134,Logistic Regression,0.95,0.2,0.1,99.90875912,100,99.85835694,76.36861314,Logistic Regression
135,Logistic Regression,0.95,0.25,0.1,99.90875912,100,99.85835694,78.92335766,Logistic Regression
136,Logistic Regression,0.95,0.3,0.1,99.90875912,100,99.85835694,79.10583942,Logistic Regression
138,Logistic Regression,0.95,0.1,0.15,99.90875912,100,99.85835694,77.55474453,Logistic Regression
139,Logistic Regression,0.95,0.15,0.15,99.90875912,100,99.85835694,77.18978102,Logistic Regression
140,Logistic Regression,0.95,0.2,0.15,99.90875912,100,99.85835694,78.10218978,Logistic Regression
141,Logistic Regression,0.95,0.25,0.15,99.90875912,100,99.85835694,78.64963504,Logistic Regression
142,Logistic Regression,0.95,0.3,0.15,99.90875912,100,99.85835694,79.5620438,Logistic Regression
113,Logistic Regression,0.95,0.4,0.01,100,100,100,81.93430657,Logistic Regression
119,Logistic Regression,0.95,0.4,0.03,100,100,100,82.2080292,Logistic Regression
125,Logistic Regression,0.95,0.4,0.05,100,100,100,82.2080292,Logistic Regression
