,model,threshold,split_1,split_2,accuracy,human effort
86,Random Forest,0.9,0.2,0.05,97.41536221,38.7695668
87,Random Forest,0.9,0.25,0.05,97.9250091,43.82963233
88,Random Forest,0.9,0.3,0.05,98.28904259,47.57917728
89,Random Forest,0.9,0.4,0.05,98.65307608,55.33309064
90,Random Forest,0.9,0.1,0.08,97.30615217,31.48889698
91,Random Forest,0.9,0.15,0.08,97.45176556,35.02002184
92,Random Forest,0.9,0.2,0.08,97.52457226,39.67965053
93,Random Forest,0.9,0.25,0.08,98.1434292,44.73971605
94,Random Forest,0.9,0.3,0.08,98.39825264,48.67127776
95,Random Forest,0.9,0.4,0.08,98.68947943,56.17036767
96,Random Forest,0.9,0.1,0.1,97.34255552,31.70731707
97,Random Forest,0.9,0.15,0.1,97.59737896,35.45686203
98,Random Forest,0.9,0.2,0.1,97.52457226,40.08008737
99,Random Forest,0.9,0.25,0.1,98.21623589,45.43137969
100,Random Forest,0.9,0.3,0.1,98.50746269,48.8532945
101,Random Forest,0.9,0.4,0.1,98.58026938,56.13396432
102,Random Forest,0.9,0.1,0.15,97.37895886,33.85511467
103,Random Forest,0.9,0.15,0.15,97.70658901,36.94939934
104,Random Forest,0.9,0.2,0.15,97.63378231,41.86385147
105,Random Forest,0.9,0.25,0.15,98.1434292,46.37786676
106,Random Forest,0.9,0.3,0.15,98.47105934,49.72697488
107,Random Forest,0.9,0.4,0.15,98.65307608,57.04404805
108,Random Forest,0.95,0.1,0.01,97.81579905,34.619585
109,Random Forest,0.95,0.15,0.01,97.9250091,37.56825628
110,Random Forest,0.95,0.2,0.01,98.32544594,43.72042228
111,Random Forest,0.95,0.25,0.01,98.65307608,48.88969785
112,Random Forest,0.95,0.3,0.01,98.83509283,52.78485621
113,Random Forest,0.95,0.4,0.01,98.87149618,58.86421551
114,Random Forest,0.95,0.1,0.03,98.25263924,37.27702949
115,Random Forest,0.95,0.15,0.03,98.10702585,39.02439024
116,Random Forest,0.95,0.2,0.03,98.50746269,46.01383327
117,Random Forest,0.95,0.25,0.03,98.79868948,50.52784856
118,Random Forest,0.95,0.3,0.03,98.76228613,54.09537677
119,Random Forest,0.95,0.4,0.03,98.90789953,60.24754277
120,Random Forest,0.95,0.1,0.05,98.28904259,38.55114671
121,Random Forest,0.95,0.15,0.05,98.21623589,41.02657444
122,Random Forest,0.95,0.2,0.05,98.54386604,47.32435384
123,Random Forest,0.95,0.25,0.05,98.90789953,51.65635238
124,Random Forest,0.95,0.3,0.05,98.90789953,55.04186385
125,Random Forest,0.95,0.4,0.05,99.08991627,61.12122315
126,Random Forest,0.95,0.1,0.08,98.32544594,40.26210411
127,Random Forest,0.95,0.15,0.08,98.21623589,41.64543138
128,Random Forest,0.95,0.2,0.08,98.65307608,47.76119403
129,Random Forest,0.95,0.25,0.08,98.94430288,53.25809975
130,Random Forest,0.95,0.3,0.08,99.12631962,56.78922461
131,Random Forest,0.95,0.4,0.08,99.23552967,61.84929013
132,Random Forest,0.95,0.1,0.1,98.54386604,41.35420459
133,Random Forest,0.95,0.15,0.1,98.21623589,42.73753185
134,Random Forest,0.95,0.2,0.1,98.54386604,48.67127776
135,Random Forest,0.95,0.25,0.1,99.08991627,53.84055333
136,Random Forest,0.95,0.3,0.1,99.27193302,57.33527485
137,Random Forest,0.95,0.4,0.1,99.16272297,62.32253367
138,Random Forest,0.95,0.1,0.15,98.58026938,42.51911176
139,Random Forest,0.95,0.15,0.15,98.43465599,44.12085912
140,Random Forest,0.95,0.2,0.15,98.83509283,50.96468875
141,Random Forest,0.95,0.25,0.15,99.12631962,55.1510739
142,Random Forest,0.95,0.3,0.15,99.34473972,58.17255187
143,Random Forest,0.95,0.4,0.15,99.38114307,63.26902075
144,Random Forest,0.99,0.1,0.01,99.19912632,49.72697488
145,Random Forest,0.99,0.15,0.01,99.45394976,54.89625046
146,Random Forest,0.99,0.2,0.01,99.56315981,59.228249
147,Random Forest,0.99,0.25,0.01,99.52675646,61.66727339
148,Random Forest,0.99,0.3,0.01,99.52675646,64.03349108
149,Random Forest,0.99,0.4,0.01,99.63596651,68.98434656
150,Random Forest,0.99,0.1,0.03,99.27193302,52.56643611
151,Random Forest,0.99,0.15,0.03,99.56315981,57.77211503
152,Random Forest,0.99,0.2,0.03,99.56315981,61.63087004
153,Random Forest,0.99,0.25,0.03,99.74517656,64.68875137
154,Random Forest,0.99,0.3,0.03,99.70877321,66.80014561
155,Random Forest,0.99,0.4,0.03,99.67236986,71.16854751
