,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
75,Random Forest,0.9,0.25,0.01,98.68974042,98.56927711,99.43030763,44.27688504
98,Random Forest,0.9,0.2,0.1,98.86279357,98.75612514,99.50626662,44.4499382
46,Random Forest,0.85,0.3,0.03,98.44252163,98.27197596,99.35434865,44.87021014
104,Random Forest,0.9,0.2,0.15,98.91223733,98.83062995,99.50626662,45.09270705
52,Random Forest,0.85,0.3,0.05,98.46724351,98.30890643,99.35434865,45.41409147
114,Random Forest,0.95,0.1,0.03,99.184178,99.09365559,99.65818458,46.00741656
81,Random Forest,0.9,0.25,0.03,98.86279357,98.75612514,99.50626662,46.18046972
58,Random Forest,0.85,0.3,0.08,98.54140915,98.34710744,99.43030763,46.52657602
64,Random Forest,0.85,0.3,0.1,98.5908529,98.42105263,99.43030763,46.5512979
109,Random Forest,0.95,0.15,0.01,99.11001236,99.12977677,99.50626662,46.65018541
70,Random Forest,0.85,0.3,0.15,98.5908529,98.42105263,99.43030763,47.31767614
87,Random Forest,0.9,0.25,0.05,98.96168109,98.86835157,99.54424611,47.39184178
120,Random Forest,0.95,0.1,0.05,99.30778739,99.3558166,99.5822256,47.56489493
93,Random Forest,0.9,0.25,0.08,99.01112485,98.90607318,99.5822256,48.1829419
99,Random Forest,0.9,0.25,0.1,99.08529048,98.98113208,99.62020509,48.67737948
76,Random Forest,0.9,0.3,0.01,98.83807169,98.82930514,99.39232814,48.72682324
110,Random Forest,0.95,0.2,0.01,99.15945612,99.09331318,99.62020509,49.24598269
5,Random Forest,0.8,0.4,0.01,98.17058096,98.08342728,99.12647171,49.36959209
115,Random Forest,0.95,0.15,0.03,99.30778739,99.31843998,99.62020509,49.44375773
126,Random Forest,0.95,0.1,0.08,99.33250927,99.31869796,99.65818458,49.592089
105,Random Forest,0.9,0.25,0.15,99.13473424,99.05589124,99.62020509,49.64153276
82,Random Forest,0.9,0.3,0.03,98.88751545,98.83018868,99.46828712,49.98763906
11,Random Forest,0.8,0.4,0.03,98.2447466,98.15789474,99.1644512,50.21013597
17,Random Forest,0.8,0.4,0.05,98.31891224,98.2324182,99.20243069,50.48207664
132,Random Forest,0.95,0.1,0.1,99.35723115,99.31895573,99.69616407,50.48207664
88,Random Forest,0.9,0.3,0.05,99.01112485,99.01701323,99.46828712,50.90234858
23,Random Forest,0.8,0.4,0.08,98.34363412,98.26937547,99.20243069,50.97651422
121,Random Forest,0.95,0.15,0.05,99.38195303,99.39393939,99.65818458,51.00123609
29,Random Forest,0.8,0.4,0.1,98.39307787,98.30699774,99.24041018,51.14956737
94,Random Forest,0.9,0.3,0.08,99.01112485,98.94299736,99.54424611,51.47095179
35,Random Forest,0.8,0.4,0.15,98.41779975,98.30763445,99.27838967,51.54511743
116,Random Forest,0.95,0.2,0.03,99.20889988,99.1310918,99.65818458,51.71817058
41,Random Forest,0.85,0.4,0.01,98.41779975,98.30763445,99.27838967,51.8170581
138,Random Forest,0.95,0.1,0.15,99.35723115,99.39370974,99.62020509,51.94066749
100,Random Forest,0.9,0.3,0.1,99.11001236,99.05553457,99.5822256,51.96538937
127,Random Forest,0.95,0.15,0.08,99.40667491,99.43160288,99.65818458,52.26205192
106,Random Forest,0.9,0.3,0.15,99.11001236,99.05553457,99.5822256,52.53399258
122,Random Forest,0.95,0.2,0.05,99.28306551,99.28084784,99.62020509,52.58343634
133,Random Forest,0.95,0.15,0.1,99.40667491,99.46909367,99.62020509,52.78121137
47,Random Forest,0.85,0.4,0.03,98.64029666,98.53162651,99.39232814,52.95426452
53,Random Forest,0.85,0.4,0.05,98.64029666,98.56819894,99.35434865,53.20148331
111,Random Forest,0.95,0.25,0.01,99.28306551,99.31818182,99.5822256,53.25092707
128,Random Forest,0.95,0.2,0.08,99.25834363,99.24328415,99.62020509,53.54758962
59,Random Forest,0.85,0.4,0.08,98.68974042,98.56927711,99.43030763,53.79480841
