,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
72,Decision Tree,0.9,0.1,0.01,88.05933251,89.4350697,92.59399924,9.987639061
73,Decision Tree,0.9,0.15,0.01,89.71569839,90.94939047,93.50550703,14.98145859
74,Decision Tree,0.9,0.2,0.01,89.71569839,92.10026586,92.10026586,20
75,Decision Tree,0.9,0.25,0.01,90.75401731,92.47837533,93.39156855,24.99381953
76,Decision Tree,0.9,0.3,0.01,90.55624227,92.97441772,92.48006077,29.98763906
77,Decision Tree,0.9,0.4,0.01,92.83065513,94.22423556,94.79680972,40
78,Decision Tree,0.9,0.1,0.03,87.91100124,89.79213066,91.87238891,9.987639061
79,Decision Tree,0.9,0.15,0.03,89.71569839,91.25418683,93.12571212,14.98145859
80,Decision Tree,0.9,0.2,0.03,89.592089,91.98936978,92.02430687,20
81,Decision Tree,0.9,0.25,0.03,90.63040791,92.49622926,93.16369161,24.99381953
82,Decision Tree,0.9,0.3,0.03,90.45735476,92.66995822,92.66995822,29.98763906
83,Decision Tree,0.9,0.4,0.03,92.95426452,94.33534743,94.8727687,40
84,Decision Tree,0.9,0.1,0.05,88.05933251,89.09090909,93.04975313,9.987639061
85,Decision Tree,0.9,0.15,0.05,89.34487021,90.74759437,93.12571212,14.98145859
86,Decision Tree,0.9,0.2,0.05,89.27070457,91.91765154,91.56855298,20
87,Decision Tree,0.9,0.25,0.05,90.23485785,92.06766917,93.01177364,24.99381953
88,Decision Tree,0.9,0.3,0.05,90.21013597,92.70714013,92.21420433,29.98763906
89,Decision Tree,0.9,0.4,0.05,93.17676143,94.69093667,94.83478921,40
90,Decision Tree,0.9,0.1,0.08,87.78739184,89.802754,91.64451196,9.987639061
91,Decision Tree,0.9,0.15,0.08,89.19653894,90.69681245,92.93581466,14.98145859
92,Decision Tree,0.9,0.2,0.08,89.22126082,91.62561576,91.83440942,20
93,Decision Tree,0.9,0.25,0.08,90.23485785,92.64481707,92.3281428,24.99381953
94,Decision Tree,0.9,0.3,0.08,90.43263288,92.82990084,92.44208128,29.98763906
95,Decision Tree,0.9,0.4,0.08,92.70704574,94.11320755,94.72085074,40
96,Decision Tree,0.9,0.1,0.1,86.92212608,89.57863055,90.42916825,9.987639061
97,Decision Tree,0.9,0.15,0.1,89.78986403,91.11111111,93.42954804,14.98145859
98,Decision Tree,0.9,0.2,0.1,89.4684796,91.87855787,91.94834789,20
99,Decision Tree,0.9,0.25,0.1,90.80346106,92.90322581,92.97379415,24.99381953
100,Decision Tree,0.9,0.3,0.1,90.35846724,92.88718929,92.25218382,29.98763906
101,Decision Tree,0.9,0.4,0.1,93.07787392,94.3126177,95.10064565,40
