model,threshold,split_1,split_2,accuracy,human effort
Logistic Regression,0.9,0.25,0.1,99.27193302,55.76993083
Logistic Regression,0.9,0.3,0.1,99.34473972,58.39097197
Logistic Regression,0.9,0.4,0.1,99.30833637,62.86858391
Logistic Regression,0.9,0.1,0.15,99.38114307,51.43793229
Logistic Regression,0.9,0.15,0.15,99.38114307,52.49362941
Logistic Regression,0.9,0.2,0.15,99.30833637,54.53221696
Logistic Regression,0.9,0.25,0.15,99.30833637,56.35238442
Logistic Regression,0.9,0.3,0.15,99.34473972,58.75500546
Logistic Regression,0.9,0.4,0.15,99.34473972,63.12340735
Logistic Regression,0.95,0.1,0.01,99.81798325,65.4532217
Logistic Regression,0.95,0.15,0.01,99.81798325,66.10848198
Logistic Regression,0.95,0.2,0.01,99.89078995,68.18347288
Logistic Regression,0.95,0.25,0.01,99.8543866,69.23917
Logistic Regression,0.95,0.3,0.01,99.8543866,70.51328722
Logistic Regression,0.95,0.4,0.01,99.8543866,72.98871496
Logistic Regression,0.95,0.1,0.03,99.81798325,65.78085184
Logistic Regression,0.95,0.15,0.03,99.8543866,66.29049873
Logistic Regression,0.95,0.2,0.03,99.89078995,68.36548963
Logistic Regression,0.95,0.25,0.03,99.89078995,69.67601019
Logistic Regression,0.95,0.3,0.03,99.8543866,70.76811067
Logistic Regression,0.95,0.4,0.03,99.8543866,73.17073171
Logistic Regression,0.95,0.1,0.05,99.81798325,66.03567528
Logistic Regression,0.95,0.15,0.05,99.8543866,66.94575901
Logistic Regression,0.95,0.2,0.05,99.89078995,68.69311977
Logistic Regression,0.95,0.25,0.05,99.8543866,69.67601019
Logistic Regression,0.95,0.3,0.05,99.8543866,71.09574081
Logistic Regression,0.95,0.4,0.05,99.8543866,73.20713506
Logistic Regression,0.95,0.1,0.08,99.8543866,66.72733892
Logistic Regression,0.95,0.15,0.08,99.81798325,67.3825992
Logistic Regression,0.95,0.2,0.08,99.89078995,68.80232981
Logistic Regression,0.95,0.25,0.08,99.89078995,70.18565708
Logistic Regression,0.95,0.3,0.08,99.89078995,71.27775755
Logistic Regression,0.95,0.4,0.08,99.89078995,73.3891518
Logistic Regression,0.95,0.1,0.1,99.8543866,67.12777576
Logistic Regression,0.95,0.15,0.1,99.8543866,67.71022934
Logistic Regression,0.95,0.2,0.1,99.8543866,69.12995996
Logistic Regression,0.95,0.25,0.1,99.89078995,70.07644703
Logistic Regression,0.95,0.3,0.1,99.89078995,71.78740444
Logistic Regression,0.95,0.4,0.1,99.89078995,73.49836185
Logistic Regression,0.95,0.1,0.15,99.8543866,68.29268293
Logistic Regression,0.95,0.15,0.15,99.8543866,68.00145613
Logistic Regression,0.95,0.2,0.15,99.89078995,69.42118675
Logistic Regression,0.95,0.25,0.15,99.89078995,70.54969057
Logistic Regression,0.95,0.3,0.15,99.89078995,71.96942119
Logistic Regression,0.95,0.4,0.15,99.8543866,73.68037859
Logistic Regression,0.99,0.1,0.01,100,93.08336367
Logistic Regression,0.99,0.15,0.01,100,93.11976702
Logistic Regression,0.99,0.2,0.01,100,93.26538041
Logistic Regression,0.99,0.25,0.01,100,93.44739716
Logistic Regression,0.99,0.3,0.01,100,93.7022206
Logistic Regression,0.99,0.4,0.01,100,93.95704405
Logistic Regression,0.99,0.1,0.03,100,93.15617037
Logistic Regression,0.99,0.15,0.03,100,93.33818711
Logistic Regression,0.99,0.2,0.03,100,93.37459046
Logistic Regression,0.99,0.25,0.03,100,93.48380051
Logistic Regression,0.99,0.3,0.03,100,93.847834
Logistic Regression,0.99,0.4,0.03,100,94.17546414
Logistic Regression,0.99,0.1,0.05,100,93.30178376
Logistic Regression,0.99,0.15,0.05,100,93.33818711
Logistic Regression,0.99,0.2,0.05,100,93.41099381
Logistic Regression,0.99,0.25,0.05,100,93.55660721
Logistic Regression,0.99,0.3,0.05,100,93.9206407
Logistic Regression,0.99,0.4,0.05,100,94.17546414
Logistic Regression,0.99,0.1,0.08,100,93.44739716
Logistic Regression,0.99,0.15,0.08,100,93.7750273
Logistic Regression,0.99,0.2,0.08,100,93.62941391
Logistic Regression,0.99,0.25,0.08,100,93.73862395
Logistic Regression,0.99,0.3,0.08,100,94.10265744
Logistic Regression,0.99,0.4,0.08,100,94.28467419
Logistic Regression,0.99,0.1,0.1,100,93.59301056
Logistic Regression,0.99,0.15,0.1,100,93.62941391
Logistic Regression,0.99,0.2,0.1,100,93.62941391
Logistic Regression,0.99,0.25,0.1,100,93.81143065
Logistic Regression,0.99,0.3,0.1,100,94.10265744
Logistic Regression,0.99,0.4,0.1,100,94.32107754
Logistic Regression,0.99,0.1,0.15,100,93.88423735
Logistic Regression,0.99,0.15,0.15,100,93.9206407
Logistic Regression,0.99,0.2,0.15,100,93.9934474
Logistic Regression,0.99,0.25,0.15,100,94.10265744
Logistic Regression,0.99,0.3,0.15,100,94.46669094
Logistic Regression,0.99,0.4,0.15,100,94.50309428
