model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier,dt_label_99_60,dt_label_96_40
Decision Tree,0.85,0.1,0.05,87.46600742,89.78293413,91.11279909,9.987639061,1,0,0
Decision Tree,0.85,0.15,0.05,89.81458591,91.48300336,93.01177364,14.98145859,1,0,0
Decision Tree,0.85,0.2,0.05,90.45735476,92.93083684,92.36612229,20,1,0,0
Decision Tree,0.85,0.25,0.05,90.90234858,92.88148429,93.16369161,24.99381953,1,0,0
Decision Tree,0.85,0.3,0.05,90.25957973,92.4857685,92.55601975,29.98763906,1,0,0
Decision Tree,0.85,0.4,0.05,92.90482077,94.46550417,94.64489176,40,1,0,0
Decision Tree,0.85,0.1,0.08,88.15822002,89.62472406,92.51804026,9.987639061,1,0,0
Decision Tree,0.85,0.15,0.08,89.81458591,90.66276089,94.0372199,14.98145859,1,0,0
Decision Tree,0.85,0.2,0.08,89.19653894,91.34036145,92.13824535,20,1,0,0
Decision Tree,0.85,0.25,0.08,91.00123609,92.50655676,93.77136346,24.99381953,1,0,0
Decision Tree,0.85,0.3,0.08,90.95179234,93.34608031,92.70793771,29.98763906,1,0,0
Decision Tree,0.85,0.4,0.08,92.95426452,94.10217881,95.13862514,40,1,0,0
Decision Tree,0.85,0.1,0.1,87.58961681,89.47758429,91.72047095,9.987639061,1,0,0
Decision Tree,0.85,0.15,0.1,90.08652658,91.12011791,93.92328143,14.98145859,1,0,0
Decision Tree,0.85,0.2,0.1,89.86402967,92.02268431,92.44208128,20,1,0,0
Decision Tree,0.85,0.25,0.1,90.16069221,92.31351761,92.59399924,24.99381953,1,0,0
Decision Tree,0.85,0.3,0.1,90.35846724,92.88718929,92.25218382,29.98763906,1,0,0
Decision Tree,0.85,0.4,0.1,93.05315204,94.57922669,94.75883023,40,1,0,0
Decision Tree,0.85,0.1,0.15,88.13349815,90.33345822,91.56855298,9.987639061,1,0,0
Decision Tree,0.85,0.15,0.15,89.24598269,90.61345159,93.12571212,14.98145859,1,0,0
Decision Tree,0.85,0.2,0.15,89.74042027,92.16730038,92.06228637,20,1,0,0
Decision Tree,0.85,0.25,0.15,90.35846724,92.59399924,92.59399924,24.99381953,1,0,0
Decision Tree,0.85,0.3,0.15,91.10012361,93.19650323,93.12571212,29.98763906,1,0,0
Decision Tree,0.85,0.4,0.15,92.85537701,94.09330324,94.98670718,40,1,0,0
Decision Tree,0.9,0.1,0.01,88.05933251,89.4350697,92.59399924,9.987639061,1,0,0
Decision Tree,0.9,0.15,0.01,89.71569839,90.94939047,93.50550703,14.98145859,1,0,0
Decision Tree,0.9,0.2,0.01,89.71569839,92.10026586,92.10026586,20,1,0,0
Decision Tree,0.9,0.25,0.01,90.75401731,92.47837533,93.39156855,24.99381953,1,0,0
Decision Tree,0.9,0.3,0.01,90.55624227,92.97441772,92.48006077,29.98763906,1,0,0
Decision Tree,0.9,0.4,0.01,92.83065513,94.22423556,94.79680972,40,1,0,0
Decision Tree,0.9,0.1,0.03,87.91100124,89.79213066,91.87238891,9.987639061,1,0,0
Decision Tree,0.9,0.15,0.03,89.71569839,91.25418683,93.12571212,14.98145859,1,0,0
Decision Tree,0.9,0.2,0.03,89.592089,91.98936978,92.02430687,20,1,0,0
Decision Tree,0.9,0.25,0.03,90.63040791,92.49622926,93.16369161,24.99381953,1,0,0
Decision Tree,0.9,0.3,0.03,90.45735476,92.66995822,92.66995822,29.98763906,1,0,0
Decision Tree,0.9,0.4,0.03,92.95426452,94.33534743,94.8727687,40,1,0,0
Decision Tree,0.9,0.1,0.05,88.05933251,89.09090909,93.04975313,9.987639061,1,0,0
Decision Tree,0.9,0.15,0.05,89.34487021,90.74759437,93.12571212,14.98145859,1,0,0
Decision Tree,0.9,0.2,0.05,89.27070457,91.91765154,91.56855298,20,1,0,0
Decision Tree,0.9,0.25,0.05,90.23485785,92.06766917,93.01177364,24.99381953,1,0,0
Decision Tree,0.9,0.3,0.05,90.21013597,92.70714013,92.21420433,29.98763906,1,0,0
Decision Tree,0.9,0.4,0.05,93.17676143,94.69093667,94.83478921,40,1,0,0
Decision Tree,0.9,0.1,0.08,87.78739184,89.802754,91.64451196,9.987639061,1,0,0
Decision Tree,0.9,0.15,0.08,89.19653894,90.69681245,92.93581466,14.98145859,1,0,0
Decision Tree,0.9,0.2,0.08,89.22126082,91.62561576,91.83440942,20,1,0,0
Decision Tree,0.9,0.25,0.08,90.23485785,92.64481707,92.3281428,24.99381953,1,0,0
Decision Tree,0.9,0.3,0.08,90.43263288,92.82990084,92.44208128,29.98763906,1,0,0
Decision Tree,0.9,0.4,0.08,92.70704574,94.11320755,94.72085074,40,1,0,0
Decision Tree,0.9,0.1,0.1,86.92212608,89.57863055,90.42916825,9.987639061,1,0,0
Decision Tree,0.9,0.15,0.1,89.78986403,91.11111111,93.42954804,14.98145859,1,0,0
Decision Tree,0.9,0.2,0.1,89.4684796,91.87855787,91.94834789,20,1,0,0
Decision Tree,0.9,0.25,0.1,90.80346106,92.90322581,92.97379415,24.99381953,1,0,0
Decision Tree,0.9,0.3,0.1,90.35846724,92.88718929,92.25218382,29.98763906,1,0,0
Decision Tree,0.9,0.4,0.1,93.07787392,94.3126177,95.10064565,40,1,0,0
Decision Tree,0.9,0.1,0.15,87.63906057,89.33972704,91.98632738,9.987639061,1,0,0
Decision Tree,0.9,0.15,0.15,89.9381953,91.1308204,93.65742499,14.98145859,1,0,0
Decision Tree,0.9,0.2,0.15,89.76514215,91.53874953,92.85985568,20,1,0,0
Decision Tree,0.9,0.25,0.15,90.45735476,92.09441738,93.35358906,24.99381953,1,0,0
Decision Tree,0.9,0.3,0.15,90.85290482,93.40237821,92.48006077,29.98763906,1,0,0
Decision Tree,0.9,0.4,0.15,93.12731768,94.35028249,95.13862514,40,1,0,0
Decision Tree,0.95,0.1,0.01,87.61433869,89.3648449,91.9103684,9.987639061,1,0,0
Decision Tree,0.95,0.15,0.01,89.78986403,91.32539092,93.16369161,14.98145859,1,0,0
Decision Tree,0.95,0.2,0.01,89.22126082,91.72047095,91.72047095,20,1,0,0
Decision Tree,0.95,0.25,0.01,90.16069221,92.15390419,92.7838967,24.99381953,1,0,0
Decision Tree,0.95,0.3,0.01,90.60568603,92.97977871,92.55601975,29.98763906,1,0,0
Decision Tree,0.95,0.4,0.01,93.07787392,94.3126177,95.10064565,40,1,0,0
Decision Tree,0.95,0.1,0.03,87.91100124,90.45283019,91.03684011,9.987639061,1,0,0
Decision Tree,0.95,0.15,0.03,89.9381953,91.34472511,93.39156855,14.98145859,1,0,0
Decision Tree,0.95,0.2,0.03,89.86402967,92.05448354,92.40410179,20,1,0,0
Decision Tree,0.95,0.25,0.03,90.77873918,92.60935143,93.27763008,24.99381953,1,0,0
Decision Tree,0.95,0.3,0.03,90.16069221,92.21760484,92.70793771,29.98763906,1,0,0
Decision Tree,0.95,0.4,0.03,92.80593325,94.25547997,94.72085074,40,1,0,0
Decision Tree,0.95,0.1,0.05,87.88627936,89.87718645,91.72047095,9.987639061,1,0,0
Decision Tree,0.95,0.15,0.05,89.592089,91.3303438,92.82187619,14.98145859,1,0,0
Decision Tree,0.95,0.2,0.05,89.86402967,92.24629418,92.17622484,20,1,0,0
Decision Tree,0.95,0.25,0.05,90.80346106,92.6121372,93.31560957,24.99381953,1,0,0
Decision Tree,0.95,0.3,0.05,90.38318912,92.53222138,92.70793771,29.98763906,1,0,0
Decision Tree,0.95,0.4,0.05,92.78121137,94.1198643,94.83478921,40,1,0,0
Decision Tree,0.95,0.1,0.08,87.44128554,89.16328787,91.87238891,9.987639061,1,0,0
Decision Tree,0.95,0.15,0.08,89.81458591,91.45203434,93.04975313,14.98145859,1,0,0
Decision Tree,0.95,0.2,0.08,89.17181706,91.90530737,91.41663502,20,1,0,0
Decision Tree,0.95,0.25,0.08,90.23485785,92.29024943,92.7459172,24.99381953,1,0,0
Decision Tree,0.95,0.3,0.08,90.67985167,93.2183908,92.40410179,29.98763906,1,0,0
Decision Tree,0.95,0.4,0.08,92.6328801,94.30740038,94.37903532,40,1,0,0
Decision Tree,0.95,0.1,0.1,87.71322621,89.43870015,91.98632738,9.987639061,1,0,0
Decision Tree,0.95,0.15,0.1,89.51792336,91.13594041,92.93581466,14.98145859,1,0,0
Decision Tree,0.95,0.2,0.1,89.41903585,92,91.72047095,20,1,0,0
Decision Tree,0.95,0.25,0.1,90.407911,92.63197873,92.63197873,24.99381953,1,0,0
Decision Tree,0.95,0.3,0.1,90.28430161,92.87901991,92.13824535,29.98763906,1,0,0
Decision Tree,0.95,0.4,0.1,92.80593325,94.08885542,94.9107482,40,1,0,0
Decision Tree,0.95,0.1,0.15,87.29295426,89.25527973,91.492594,9.987639061,1,0,0
Decision Tree,0.95,0.15,0.15,89.51792336,91.22807018,92.82187619,14.98145859,1,0,0
Decision Tree,0.95,0.2,0.15,89.76514215,92.07432689,92.21420433,20,1,0,0
Decision Tree,0.95,0.25,0.15,90.75401731,92.76789095,93.04975313,24.99381953,1,0,0
Decision Tree,0.95,0.3,0.15,90.70457355,93.08896525,92.59399924,29.98763906,1,0,0
Decision Tree,0.95,0.4,0.15,92.80593325,94.12207988,94.8727687,40,1,0,0
Decision Tree,0.99,0.1,0.01,87.96044499,89.36170213,92.51804026,9.987639061,1,0,0
Decision Tree,0.99,0.15,0.01,89.71569839,90.70877708,93.80934295,14.98145859,1,0,0
Decision Tree,0.99,0.2,0.01,89.74042027,92.29595728,91.9103684,20,1,0,0
Decision Tree,0.99,0.25,0.01,90.5315204,92.38884702,93.12571212,24.99381953,1,0,0
Decision Tree,0.99,0.3,0.01,90.8776267,93.0418251,92.93581466,29.98763906,1,0,0
Decision Tree,0.99,0.4,0.01,92.90482077,94.36459909,94.75883023,40,1,0,0
Decision Tree,0.99,0.1,0.03,87.4907293,89.75700935,91.18875807,9.987639061,1,0,0
Decision Tree,0.99,0.15,0.03,89.49320148,91.04089219,93.01177364,14.98145859,1,0,0
Decision Tree,0.99,0.2,0.03,90.03708282,92.1709531,92.55601975,20,1,0,0
Decision Tree,0.99,0.25,0.03,90.58096415,92.52265861,93.04975313,24.99381953,1,0,0
Decision Tree,0.99,0.3,0.03,90.45735476,92.50851305,92.85985568,29.98763906,1,0,0
Decision Tree,0.99,0.4,0.03,92.75648949,94.4191344,94.4549943,40,1,0,0
Decision Tree,0.99,0.1,0.05,87.26823239,90.11363636,90.35320927,9.987639061,1,0,0
Decision Tree,0.99,0.15,0.05,89.61681088,90.72506441,93.6194455,14.98145859,1,0,0
Decision Tree,0.99,0.2,0.05,89.19653894,91.4652568,91.98632738,20,1,0,0
Decision Tree,0.99,0.25,0.05,89.98763906,91.78544636,92.93581466,24.99381953,1,0,0
Decision Tree,0.99,0.3,0.05,90.75401731,92.86527514,92.93581466,29.98763906,1,0,0
Decision Tree,0.99,0.4,0.05,92.95426452,94.33534743,94.8727687,40,1,0,0
Decision Tree,0.99,0.1,0.08,88.20766378,89.86686391,92.29016331,9.987639061,1,0,0
Decision Tree,0.99,0.15,0.08,89.64153276,91.09131403,93.2016711,14.98145859,1,0,0
Decision Tree,0.99,0.2,0.08,89.81458591,91.85827365,92.55601975,20,1,0,0
Decision Tree,0.99,0.25,0.08,90.25957973,92.19751225,92.89783517,24.99381953,1,0,0
Decision Tree,0.99,0.3,0.08,90.63040791,92.85171103,92.7459172,29.98763906,1,0,0
Decision Tree,0.99,0.4,0.08,92.80593325,94.08885542,94.9107482,40,1,0,0
Decision Tree,0.99,0.1,0.1,88.08405439,89.49687844,92.55601975,9.987639061,1,0,0
Decision Tree,0.99,0.15,0.1,89.17181706,90.78409513,92.7838967,14.98145859,1,0,0
Decision Tree,0.99,0.2,0.1,89.49320148,91.97718631,91.87238891,20,1,0,0
Decision Tree,0.99,0.25,0.1,90.30902349,92.62076835,92.48006077,24.99381953,1,0,0
Decision Tree,0.99,0.3,0.1,90.38318912,92.43570348,92.82187619,29.98763906,1,0,0
Decision Tree,0.99,0.4,0.1,92.92954265,94.46760136,94.68287125,40,1,0,0
Decision Tree,0.99,0.1,0.15,87.93572311,90.51756706,90.99886062,9.987639061,1,0,0
Decision Tree,0.99,0.15,0.15,89.69097651,91.28166915,93.04975313,14.98145859,1,0,0
Decision Tree,0.99,0.2,0.15,89.88875155,92.24924012,92.21420433,20,1,0,0
