,model,threshold,split_1,split_2,accuracy,human effort
0,Decision Tree,0.9,0.1,0.05,88.81190659481652,9.982037464716448
1,Decision Tree,0.9,0.15,0.05,88.06774441878368,14.985886579420066
2,Decision Tree,0.9,0.2,0.05,88.96587118296125,19.989735694123684
3,Decision Tree,0.9,0.25,0.05,89.22247882986913,24.993584808827304
4,Decision Tree,0.9,0.3,0.05,90.24890941750064,29.99743392353092
5,Decision Tree,0.9,0.4,0.05,92.19912753400051,39.97947138824737
6,SVM,0.9,0.1,0.05,97.27995894277649,29.740826276623043
7,SVM,0.9,0.15,0.05,97.53656658968437,33.58994098024121
8,SVM,0.9,0.2,0.05,97.58788811906595,36.797536566589685
9,SVM,0.9,0.25,0.05,97.63920964844752,39.902489094175
10,SVM,0.9,0.3,0.05,97.74185270721067,43.36669232743136
11,SVM,0.9,0.4,0.05,97.81883500128303,51.11624326404927
