,Correlation,p_val
PSNR,0.036243325,0.150651084
CPL,-0.283150762,2.09E-30
CS,0.005819969,0.817533857
SSIM,0.107279678,2.00E-05
MSE,0.043214595,0.086543394
WD,-0.044714876,0.076149056
KL,0.007059427,0.77958925
TSI,-0.032109302,0.202943508
VAE,-0.091026842,0.00029918
Hist_correlation,-0.165908417,3.52E-11
Hist_intersection,0.005429228,0.82958968
VIF,0.144565788,8.35E-09
