model,config,human effort,small accuracy,precision,recall
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.919578115,0.922926829,0.956521739
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.75,0.918972332,0.913489736,0.964396285
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.75,0.918972332,0.931818182,0.943251534
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.918918919,0.92445328,0.951893552
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.918589321,0.925636008,0.95218923
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.918259723,0.916626272,0.961362481
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.918259723,0.929382716,0.947156517
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.75,0.91798419,0.927835052,0.948795181
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.917943648,0.922330097,0.952197379
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.916611734,0.917630058,0.958731756
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.916282136,0.914965986,0.959734964
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.915966387,0.92005814,0.954751131
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.915966387,0.928888889,0.944277108
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.915952538,0.916953317,0.955942623
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.915293342,0.917278512,0.955147808
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.915293342,0.921530162,0.950910931
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.75,0.915019763,0.928882438,0.94534712
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.914977756,0.918717375,0.951351351
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.914977756,0.916119621,0.956587966
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.914963744,0.921982336,0.949949444
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.91448344,0.914458743,0.952681388
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.913989125,0.932985853,0.937172775
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.911023233,0.913843888,0.951687117
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.909690178,0.908177905,0.958606764
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.909030982,0.906718221,0.957631445
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.908701384,0.917520742,0.945674044
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.907382993,0.905842588,0.956167176
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.906723797,0.914173615,0.945233266
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.25,0.906064601,0.902497598,0.9581846
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.75,0.90513834,0.911174785,0.949253731
