,accuracy_big,precision,recall,human effort,accuracy,F1-Score
0,70,70,100,0.25,0.7,0.823529412
1,70,70,100,0.25,0.7,0.823529412
2,70,70,100,0.25,0.7,0.823529412
3,70,70,100,0.25,0.7,0.823529412
4,70,70,100,0.25,0.7,0.823529412
5,70,70,100,0.25,0.7,0.823529412
6,70,70,100,0.25,0.7,0.823529412
7,70,70,100,0.25,0.7,0.823529412
8,70,70,100,0.25,0.7,0.823529412
9,70,70,100,0.25,0.7,0.823529412
10,70,70,100,0.25,0.7,0.823529412
11,70,70,100,0.25,0.7,0.823529412
12,70,70,100,0.25,0.7,0.823529412
13,70,70,100,0.25,0.7,0.823529412
14,70,70,100,0.25,0.7,0.823529412
15,70,70,100,0.25,0.7,0.823529412
16,70,70,100,0.25,0.7,0.823529412
17,70,70,100,0.25,0.7,0.823529412
18,70,70,100,0.25,0.7,0.823529412
19,70,70,100,0.25,0.7,0.823529412
20,70,70,100,0.5,0.7,0.823529412
21,70,70,100,0.5,0.7,0.823529412
22,70,70,100,0.5,0.7,0.823529412
23,70,70,100,0.5,0.7,0.823529412
24,70,70,100,0.5,0.7,0.823529412
25,70,70,100,0.5,0.7,0.823529412
26,70,70,100,0.5,0.7,0.823529412
27,70,70,100,0.5,0.7,0.823529412
28,70,70,100,0.5,0.7,0.823529412
29,70,70,100,0.5,0.7,0.823529412
30,70,70,100,0.5,0.7,0.823529412
31,70,70,100,0.5,0.7,0.823529412
32,70,70,100,0.5,0.7,0.823529412
33,70,70,100,0.5,0.7,0.823529412
34,70,70,100,0.5,0.7,0.823529412
35,70,70,100,0.5,0.7,0.823529412
36,70,70,100,0.5,0.7,0.823529412
37,70,70,100,0.5,0.7,0.823529412
38,70,70,100,0.5,0.7,0.823529412
39,70,70,100,0.5,0.7,0.823529412
40,70,70,100,0.75,0.7,0.823529412
41,70,70,100,0.75,0.7,0.823529412
42,70,70,100,0.75,0.7,0.823529412
43,70,70,100,0.75,0.7,0.823529412
44,70,70,100,0.75,0.7,0.823529412
45,70,70,100,0.75,0.7,0.823529412
46,70,70,100,0.75,0.7,0.823529412
47,70,70,100,0.75,0.7,0.823529412
48,70,70,100,0.75,0.7,0.823529412
49,70,70,100,0.75,0.7,0.823529412
50,70,70,100,0.75,0.7,0.823529412
51,70,70,100,0.75,0.7,0.823529412
52,70,70,100,0.75,0.7,0.823529412
53,70,70,100,0.75,0.7,0.823529412
54,70,70,100,0.75,0.7,0.823529412
55,70,70,100,0.75,0.7,0.823529412
56,70,70,100,0.75,0.7,0.823529412
57,70,70,100,0.75,0.7,0.823529412
58,70,70,100,0.75,0.7,0.823529412
59,70,70,100,0.75,0.7,0.823529412
