,model,threshold,split_1,split_2,accuracy,_precision,_recall,human effort,effort,small accuracy,precision,recall
41,Random Forest,0.99,0.1,0.1,99.92583436,99.8861912,100,0.75,75.59950556,0.999258344,0.998861912,1
42,Random Forest,0.99,0.1,0.1,99.72805933,99.73444613,99.84808204,0.75,69.91347342,0.997280593,0.997344461,0.99848082
43,Random Forest,0.99,0.1,0.1,99.90111248,99.84831248,100,0.75,74.83312732,0.999011125,0.998483125,1
44,Random Forest,0.99,0.1,0.1,99.80222497,99.81024668,99.88606153,0.75,73.34981459,0.99802225,0.998102467,0.998860615
45,Random Forest,0.99,0.1,0.1,99.80222497,99.77246871,99.92404102,0.75,73.4487021,0.99802225,0.997724687,0.99924041
46,Random Forest,0.99,0.1,0.1,99.95055624,99.96202051,99.96202051,0.75,76.63782447,0.999505562,0.999620205,0.999620205
47,Random Forest,0.99,0.1,0.1,99.92583436,99.8861912,100,0.75,73.94313968,0.999258344,0.998861912,1
48,Random Forest,0.99,0.1,0.1,99.90111248,99.84831248,100,0.75,75.69839308,0.999011125,0.998483125,1
49,Random Forest,0.99,0.1,0.1,99.85166873,99.88606153,99.88606153,0.75,72.06427689,0.998516687,0.998860615,0.998860615
50,Random Forest,0.99,0.1,0.1,99.87639061,99.84825493,99.96202051,0.75,74.95673671,0.998763906,0.998482549,0.999620205
51,Random Forest,0.99,0.1,0.1,99.85166873,99.77264115,100,0.75,75.42645241,0.998516687,0.997726412,1
52,Random Forest,0.99,0.1,0.1,99.50556242,99.43246311,99.81010254,0.75,69.44375773,0.995055624,0.994324631,0.998101025
53,Random Forest,0.99,0.1,0.1,99.87639061,99.81046247,100,0.75,74.28924598,0.998763906,0.998104625,1
54,Random Forest,0.99,0.1,0.1,99.97527812,99.96203493,100,0.75,76.36588381,0.999752781,0.999620349,1
55,Random Forest,0.99,0.1,0.1,99.85166873,99.77264115,100,0.75,73.86897404,0.998516687,0.997726412,1
56,Random Forest,0.99,0.1,0.1,99.87639061,99.81046247,100,0.75,74.95673671,0.998763906,0.998104625,1
57,Random Forest,0.99,0.1,0.1,99.75278121,99.62164207,100,0.75,71.84177998,0.997527812,0.996216421,1
58,Random Forest,0.99,0.1,0.1,99.85166873,99.84819734,99.92404102,0.75,76.16810878,0.998516687,0.998481973,0.99924041
59,Random Forest,0.99,0.1,0.1,99.95055624,99.92409867,100,0.75,76.39060569,0.999505562,0.999240987,1
