,model,threshold,split_1,split_2,accuracy,_precision,_recall,effort,human effort,small accuracy,precision,recall
,Random Forest,0.9,0.4,0.1,99.61880559,99.53014879,100,77.82719187,0.75,0.996188056,0.995301488,1
,Random Forest,0.9,0.4,0.1,98.60228717,98.29853055,100,75.0952986,0.75,0.986022872,0.982985306,1
,Random Forest,0.9,0.4,0.1,98.85641677,98.60356866,100,77.57306226,0.75,0.988564168,0.986035687,1
,Random Forest,0.9,0.4,0.1,98.91994917,98.68012422,100,77.25540025,0.75,0.989199492,0.986801242,1
,Random Forest,0.9,0.4,0.1,98.09402795,97.69408148,100,71.85514612,0.75,0.98094028,0.976940815,1
,Random Forest,0.9,0.4,0.1,98.98348158,98.75679876,100,77.19186785,0.75,0.989834816,0.987567988,1
,Random Forest,0.9,0.4,0.1,98.72935197,98.45081332,100,76.93773825,0.75,0.98729352,0.984508133,1
,Random Forest,0.9,0.4,0.1,98.41168996,98.07098765,100,75.22236341,0.75,0.9841169,0.980709877,1
,Random Forest,0.9,0.4,0.1,98.72935197,98.45081332,100,76.04828463,0.75,0.98729352,0.984508133,1
,Random Forest,0.9,0.4,0.1,98.66581957,98.374613,100,75.92121982,0.75,0.986658196,0.98374613,1
,Random Forest,0.9,0.4,0.1,98.72935197,98.45081332,100,75.98475222,0.75,0.98729352,0.984508133,1
,Random Forest,0.9,0.4,0.1,98.91994917,98.68012422,100,76.81067344,0.75,0.989199492,0.986801242,1
,Random Forest,0.9,0.4,0.1,99.17407878,98.98753894,100,76.62007624,0.75,0.991740788,0.989875389,1
,Random Forest,0.9,0.4,0.1,98.79288437,98.52713178,100,77.70012706,0.75,0.987928844,0.985271318,1
