,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,effort,F1,F1-Score,small accuracy
43,SVM,0.95,0.25,0.15,99.08759124,99.43181818,99.15014164,78.37591241,0.75,49.64539007,0.992907801,0.990875912
44,SVM,0.95,0.25,0.15,98.54014599,98.72881356,99.00849858,71.53284672,0.75,49.43422914,0.988684583,0.98540146
45,SVM,0.95,0.25,0.15,98.54014599,98.72881356,99.00849858,65.05474453,0.75,49.43422914,0.988684583,0.98540146
46,SVM,0.95,0.25,0.15,98.17518248,98.72159091,98.44192635,52.91970803,0.75,49.29078014,0.985815603,0.981751825
47,SVM,0.95,0.25,0.15,98.26642336,97.90794979,99.43342776,65.32846715,0.75,49.33239635,0.986647927,0.982664234
48,SVM,0.95,0.25,0.15,98.63138686,98.86845827,99.00849858,71.62408759,0.75,49.46921444,0.989384289,0.986313869
49,SVM,0.95,0.25,0.15,98.99635036,99.15134371,99.2917847,75.82116788,0.75,49.61075725,0.992215145,0.989963504
50,SVM,0.95,0.25,0.15,99.54379562,99.71631206,99.57507082,80.2919708,0.75,49.82282069,0.996456414,0.995437956
51,SVM,0.95,0.25,0.15,99.27007299,99.57386364,99.2917847,81.56934307,0.75,49.71631206,0.994326241,0.99270073
52,SVM,0.95,0.25,0.15,99.27007299,99.85714286,99.00849858,81.29562044,0.75,49.71550498,0.9943101,0.99270073
53,SVM,0.95,0.25,0.15,97.99270073,98.30508475,98.58356941,66.97080292,0.75,49.22206507,0.984441301,0.979927007
54,SVM,0.95,0.25,0.15,99.08759124,99.2917847,99.2917847,71.98905109,0.75,49.64589235,0.992917847,0.990875912
55,SVM,0.95,0.25,0.15,98.08394161,98.03646564,99.00849858,60.31021898,0.75,49.26004228,0.985200846,0.980839416
56,SVM,0.95,0.25,0.15,99.17883212,99.15373766,99.57507082,68.79562044,0.75,49.6819788,0.993639576,0.991788321
57,SVM,0.95,0.25,0.15,99.36131387,99.29478138,99.71671388,66.42335766,0.75,49.75265018,0.995053004,0.993613139
58,SVM,0.95,0.25,0.15,99.08759124,99.15254237,99.43342776,78.28467153,0.75,49.64639321,0.992927864,0.990875912
59,SVM,0.95,0.25,0.15,98.35766423,98.31460674,99.15014164,60.58394161,0.75,49.36530324,0.987306065,0.983576642
