,accuracy,precision,recall,effort,threshold,F1-Score
0,83.2460733,66.66666667,2.06185567,0.25,0.795031766,0.04
1,83.07155323,NAN,0,0.25,0.999522538,0
2,82.02443281,60,2.884615385,0.25,0.791218024,0.055045872
3,83.2460733,60,3.092783505,0.25,0.789966936,0.058823529
4,83.42059337,50,4.210526316,0.25,0.783985766,0.077669903
5,82.19895288,60,2.912621359,0.25,0.79016017,0.055555556
6,81.32635253,28.57142857,1.923076923,0.25,0.781547369,0.036036036
7,83.2460733,NAN,0,0.25,0.999522538,0
8,82.89703316,50,3.06122449,0.25,0.785883608,0.057692308
9,82.19895288,66.66666667,1.941747573,0.25,0.791039386,0.037735849
10,81.84991274,40,1.941747573,0.25,0.785294111,0.037037037
11,80.80279232,0,0,0.25,0.925958095,0
12,81.32635253,50,1.869158879,0.25,0.786058372,0.036036036
13,82.37347295,42.85714286,3,0.25,0.774945082,0.056074766
14,83.42059337,30,3.296703297,0.25,0.769435579,0.059405941
15,82.19895288,37.5,3,0.25,0.781281866,0.055555556
16,82.19895288,NAN,0,0.25,0.999522538,0
17,82.19895288,21.42857143,3.191489362,0.25,0.711244757,0.055555556
18,82.19895288,60,2.912621359,0.25,0.794456293,0.055555556
19,83.59511344,50,2.127659574,0.25,0.789966936,0.040816327
20,83.5078534,50,3.174603175,0.5,0.785527366,0.059701493
21,80.89005236,NAN,0,0.5,0.999522538,0
22,83.2460733,66.66666667,3.076923077,0.5,0.791531638,0.058823529
23,79.84293194,0,0,0.5,0.795031766,0
24,80.89005236,66.66666667,2.702702703,0.5,0.791039386,0.051948052
25,82.72251309,22.22222222,3.278688525,0.5,0.737071902,0.057142857
26,81.67539267,57.14285714,5.633802817,0.5,0.785412919,0.102564103
27,82.19895288,75,4.285714286,0.5,0.791531638,0.081081081
28,80.89005236,NAN,0,0.5,0.999522538,0
29,81.15183246,100,1.369863014,0.5,0.795031766,0.027027027
30,86.64921466,75,5.660377358,0.5,0.795031766,0.105263158
31,85.34031414,66.66666667,3.50877193,0.5,0.795031766,0.066666667
32,82.98429319,66.66666667,3.03030303,0.5,0.791039386,0.057971014
33,82.98429319,33.33333333,1.5625,0.5,0.794718828,0.029850746
34,85.34031414,50,3.571428571,0.5,0.789638768,0.066666667
35,81.15183246,NAN,0,0.5,0.999522538,0
36,81.93717277,75,4.225352113,0.5,0.79572092,0.08
37,80.89005236,33.33333333,1.388888889,0.5,0.789966936,0.026666667
38,81.93717277,NAN,0,0.5,0.999522538,0
39,83.76963351,50,3.225806452,0.5,0.794456293,0.060606061
40,79.05759162,NAN,0,0.75,0.795031766,0
41,81.67539267,66.66666667,5.555555556,0.75,0.795031766,0.102564103
42,82.72251309,100,5.714285714,0.75,0.795031766,0.108108108
43,81.15183246,50,2.777777778,0.75,0.791039386,0.052631579
44,80.62827225,100,2.631578947,0.75,0.795031766,0.051282051
45,82.72251309,NAN,0,0.75,0.795031766,0
46,80.10471204,33.33333333,2.702702703,0.75,0.794456293,0.05
47,82.72251309,50,3.03030303,0.75,0.786058372,0.057142857
48,80.62827225,50,2.702702703,0.75,0.791198424,0.051282051
49,87.43455497,50,4.166666667,0.75,0.795031766,0.076923077
50,81.15183246,0,0,0.75,0.791039386,0
51,80.10471204,0,0,0.75,0.785294111,0
52,81.15183246,0,0,0.75,0.775800313,0
53,81.15183246,100,2.702702703,0.75,0.795031766,0.052631579
54,81.15183246,50,2.777777778,0.75,0.79525442,0.052631579
55,78.53403141,100,4.651162791,0.75,0.795031766,0.088888889
56,85.34031414,50,3.571428571,0.75,0.795031766,0.066666667
57,79.05759162,33.33333333,2.564102564,0.75,0.789744793,0.047619048
58,78.0104712,0,0,0.75,0.785294111,0
59,84.81675393,50,3.448275862,0.75,0.795031766,0.064516129
