,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
63,Random Forest,0.85,0.25,0.1,97.26277372,97.6056338,98.15864023,39.87226277,Random Forest
68,Random Forest,0.85,0.2,0.15,97.26277372,97.33893557,98.44192635,36.95255474,Random Forest
5,Random Forest,0.8,0.4,0.01,97.3540146,97.74330042,98.15864023,47.62773723,Random Forest
28,Random Forest,0.8,0.3,0.1,97.3540146,98.15078236,97.73371105,41.51459854,Random Forest
40,Random Forest,0.85,0.3,0.01,97.3540146,97.87835926,98.01699717,41.24087591,Random Forest
69,Random Forest,0.85,0.25,0.15,97.3540146,97.74330042,98.15864023,41.24087591,Random Forest
74,Random Forest,0.9,0.2,0.01,97.3540146,98.15078236,97.73371105,36.22262774,Random Forest
78,Random Forest,0.9,0.1,0.03,97.3540146,98.15078236,97.73371105,27.46350365,Random Forest
11,Random Forest,0.8,0.4,0.03,97.44525547,97.88135593,98.15864023,47.99270073,Random Forest
17,Random Forest,0.8,0.4,0.05,97.44525547,97.88135593,98.15864023,48.44890511,Random Forest
22,Random Forest,0.8,0.3,0.08,97.44525547,98.15340909,97.87535411,41.42335766,Random Forest
46,Random Forest,0.85,0.3,0.03,97.44525547,98.01699717,98.01699717,41.60583942,Random Forest
52,Random Forest,0.85,0.3,0.05,97.53649635,98.15602837,98.01699717,42.15328467,Random Forest
90,Random Forest,0.9,0.1,0.08,97.53649635,98.29302987,97.87535411,30.38321168,Random Forest
23,Random Forest,0.8,0.4,0.08,97.62773723,98.02259887,98.30028329,48.99635036,Random Forest
29,Random Forest,0.8,0.4,0.1,97.62773723,98.02259887,98.30028329,49.27007299,Random Forest
34,Random Forest,0.8,0.3,0.15,97.62773723,98.15864023,98.15864023,42.4270073,Random Forest
35,Random Forest,0.8,0.4,0.15,97.62773723,98.02259887,98.30028329,49.27007299,Random Forest
75,Random Forest,0.9,0.25,0.01,97.62773723,98.29545455,98.01699717,40.41970803,Random Forest
103,Random Forest,0.9,0.15,0.15,97.62773723,97.35376045,99.00849858,35.94890511,Random Forest
109,Random Forest,0.95,0.15,0.01,97.62773723,98.02259887,98.30028329,35.67518248,Random Forest
41,Random Forest,0.85,0.4,0.01,97.7189781,98.29787234,98.15864023,49.45255474,Random Forest
47,Random Forest,0.85,0.4,0.03,97.7189781,98.29787234,98.15864023,49.90875912,Random Forest
58,Random Forest,0.85,0.3,0.08,97.7189781,98.29787234,98.15864023,43.15693431,Random Forest
59,Random Forest,0.85,0.4,0.08,97.7189781,98.29787234,98.15864023,51.18613139,Random Forest
64,Random Forest,0.85,0.3,0.1,97.7189781,98.29787234,98.15864023,43.70437956,Random Forest
65,Random Forest,0.85,0.4,0.1,97.7189781,98.29787234,98.15864023,51.55109489,Random Forest
76,Random Forest,0.9,0.3,0.01,97.7189781,98.29787234,98.15864023,44.98175182,Random Forest
96,Random Forest,0.9,0.1,0.1,97.7189781,98.43527738,98.01699717,31.38686131,Random Forest
102,Random Forest,0.9,0.1,0.15,97.7189781,98.1612447,98.30028329,32.5729927,Random Forest
53,Random Forest,0.85,0.4,0.05,97.81021898,98.30028329,98.30028329,51.09489051,Random Forest
71,Random Forest,0.85,0.4,0.15,97.81021898,98.30028329,98.30028329,52.37226277,Random Forest
87,Random Forest,0.9,0.25,0.05,97.81021898,98.30028329,98.30028329,42.7919708,Random Forest
