,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
70,SVM,0.85,0.3,0.15,97.26277372,96.94444444,98.86685552,41.14963504,SVM
5,SVM,0.8,0.4,0.01,97.3540146,97.34265734,98.58356941,46.62408759,SVM
11,SVM,0.8,0.4,0.03,97.3540146,97.34265734,98.58356941,46.89781022,SVM
29,SVM,0.8,0.4,0.1,97.3540146,97.34265734,98.58356941,46.98905109,SVM
51,SVM,0.85,0.25,0.05,97.3540146,97.07927677,98.86685552,37.40875912,SVM
58,SVM,0.85,0.3,0.08,97.3540146,97.07927677,98.86685552,41.24087591,SVM
66,SVM,0.85,0.1,0.15,97.3540146,97.21059972,98.72521246,27.09854015,SVM
69,SVM,0.85,0.25,0.15,97.3540146,97.07927677,98.86685552,38.13868613,SVM
17,SVM,0.8,0.4,0.05,97.44525547,97.34636872,98.72521246,46.98905109,SVM
23,SVM,0.8,0.4,0.08,97.44525547,97.34636872,98.72521246,47.26277372,SVM
35,SVM,0.8,0.4,0.15,97.44525547,97.34636872,98.72521246,47.17153285,SVM
57,SVM,0.85,0.25,0.08,97.44525547,97.34636872,98.72521246,37.59124088,SVM
63,SVM,0.85,0.25,0.1,97.44525547,97.21448468,98.86685552,38.04744526,SVM
71,SVM,0.85,0.4,0.15,97.62773723,97.35376045,99.00849858,48.54014599,SVM
102,SVM,0.9,0.1,0.15,97.62773723,97.48603352,98.86685552,33.57664234,SVM
41,SVM,0.85,0.4,0.01,97.7189781,97.48953975,99.00849858,48.08394161,SVM
47,SVM,0.85,0.4,0.03,97.7189781,97.48953975,99.00849858,48.26642336,SVM
53,SVM,0.85,0.4,0.05,97.7189781,97.48953975,99.00849858,48.63138686,SVM
59,SVM,0.85,0.4,0.08,97.7189781,97.48953975,99.00849858,48.81386861,SVM
65,SVM,0.85,0.4,0.1,97.7189781,97.48953975,99.00849858,48.44890511,SVM
74,SVM,0.9,0.2,0.01,97.7189781,97.62237762,98.86685552,36.49635036,SVM
84,SVM,0.9,0.1,0.05,97.7189781,97.75596073,98.72521246,32.39051095,SVM
76,SVM,0.9,0.3,0.01,97.81021898,97.62569832,99.00849858,43.88686131,SVM
82,SVM,0.9,0.3,0.03,97.81021898,97.75910364,98.86685552,44.06934307,SVM
86,SVM,0.9,0.2,0.05,97.81021898,97.75910364,98.86685552,38.22992701,SVM
90,SVM,0.9,0.1,0.08,97.81021898,97.89325843,98.72521246,34.94525547,SVM
96,SVM,0.9,0.1,0.1,97.81021898,97.89325843,98.72521246,34.48905109,SVM
78,SVM,0.9,0.1,0.03,97.90145985,97.76223776,99.00849858,32.2080292,SVM
80,SVM,0.9,0.2,0.03,97.90145985,97.76223776,99.00849858,37.40875912,SVM
88,SVM,0.9,0.3,0.05,97.90145985,97.76223776,99.00849858,44.79927007,SVM
92,SVM,0.9,0.2,0.08,97.90145985,97.76223776,99.00849858,38.95985401,SVM
94,SVM,0.9,0.3,0.08,97.90145985,97.76223776,99.00849858,44.61678832,SVM
98,SVM,0.9,0.2,0.1,97.90145985,97.76223776,99.00849858,39.23357664,SVM
100,SVM,0.9,0.3,0.1,97.90145985,97.76223776,99.00849858,45.52919708,SVM
104,SVM,0.9,0.2,0.15,97.90145985,97.76223776,99.00849858,39.23357664,SVM
106,SVM,0.9,0.3,0.15,97.90145985,97.76223776,99.00849858,46.25912409,SVM
75,SVM,0.9,0.25,0.01,97.99270073,97.89915966,99.00849858,40.32846715,SVM
77,SVM,0.9,0.4,0.01,98.08394161,97.9020979,99.15014164,50.63868613,SVM
81,SVM,0.9,0.25,0.03,98.08394161,98.03646564,99.00849858,41.78832117,SVM
87,SVM,0.9,0.25,0.05,98.08394161,98.03646564,99.00849858,42.70072993,SVM
93,SVM,0.9,0.25,0.08,98.08394161,98.03646564,99.00849858,43.52189781,SVM
83,SVM,0.9,0.4,0.03,98.17518248,98.03921569,99.15014164,50.82116788,SVM
89,SVM,0.9,0.4,0.05,98.17518248,98.03921569,99.15014164,50.72992701,SVM
95,SVM,0.9,0.4,0.08,98.17518248,98.03921569,99.15014164,51.45985401,SVM
99,SVM,0.9,0.25,0.1,98.17518248,98.1741573,99.00849858,43.06569343,SVM
101,SVM,0.9,0.4,0.1,98.17518248,98.03921569,99.15014164,51.18613139,SVM
105,SVM,0.9,0.25,0.15,98.17518248,98.1741573,99.00849858,44.06934307,SVM
107,SVM,0.9,0.4,0.15,98.17518248,98.03921569,99.15014164,51.36861314,SVM
