,label
PSNR,0.474489445
CPL,-0.587746106
CS,0.781344676
SSIM,0.549287947
MSE,-0.232852401
WD,-0.269188161
KL,-0.073854723
SSS,-0.369407926
TSI,-0.425071366
HIST_COR,0.167494108
HIST_INT,0.187957425
VAE,0.022295332
