,accuracy,precision,recall,human effort,threshold
0,80.97731239092495,43.63636363636363,23.529411764705884,0.25,0.02825895206060606
1,78.53403141361257,38.46153846153846,28.571428571428573,0.25,0.025126806545454544
2,83.94415357766142,82.3529411764706,13.592233009708737,0.25,0.04156793618181818
3,85.34031413612566,76.47058823529412,13.978494623655914,0.25,0.04207738906060606
4,79.23211169284468,36.231884057971016,25.0,0.25,0.025214581363636364
5,83.59511343804537,84.21052631578948,14.953271028037383,0.25,0.042923516535353534
6,84.29319371727749,56.52173913043478,13.978494623655914,0.25,0.038327763
7,82.89703315881326,60.0,17.307692307692307,0.25,0.03823842611111111
8,79.40663176265271,46.0,20.17543859649123,0.25,0.02870561077777778
9,80.80279232111693,38.18181818181818,21.649484536082475,0.25,0.027557190282828284
10,83.7696335078534,76.92307692307692,10.0,0.25,0.04318285855555555
11,81.50087260034904,40.38461538461539,21.875,0.25,0.02758139523232323
12,83.59511343804537,70.83333333333333,16.346153846153847,0.25,0.041234146090909085
13,84.46771378708551,80.0,12.244897959183673,0.25,0.041739189767676765
14,83.24607329842932,75.0,11.538461538461538,0.25,0.0411471726969697
15,82.89703315881326,68.42105263157895,12.380952380952381,0.25,0.041008507424242426
16,79.40663176265271,40.38461538461539,19.444444444444443,0.25,0.02913969818181818
17,85.16579406631763,75.0,15.789473684210526,0.25,0.042018289303030296
18,82.54799301919721,51.724137931034484,14.851485148514852,0.25,0.037082643898989895
19,83.0715532286213,55.55555555555556,15.0,0.25,0.038001306111111105
20,82.72251308900523,90.9090909090909,13.333333333333334,0.5,0.04199688487878788
21,84.03141361256544,70.0,10.76923076923077,0.5,0.042119511242424246
22,84.03141361256544,50.0,14.754098360655737,0.5,0.03856901893939394
23,84.55497382198953,80.0,12.307692307692308,0.5,0.042018289303030296
24,87.17277486910994,80.0,14.545454545454545,0.5,0.04211453007070707
25,81.93717277486911,60.0,20.27027027027027,0.5,0.038081345555555556
26,84.55497382198953,69.23076923076923,14.0625,0.5,0.041225702
27,85.07853403141361,81.25,19.402985074626866,0.5,0.042018289303030296
28,79.31937172774869,55.0,13.580246913580247,0.5,0.03856901893939394
29,84.03141361256544,77.77777777777777,10.606060606060606,0.5,0.04211453007070707
30,83.7696335078534,61.53846153846154,12.307692307692308,0.5,0.04094664706060606
31,83.50785340314137,85.71428571428571,8.823529411764707,0.5,0.041739189767676765
32,85.34031413612566,69.23076923076923,14.754098360655737,0.5,0.042119511242424246
33,84.29319371727749,88.88888888888889,11.940298507462687,0.5,0.041739189767676765
34,84.29319371727749,62.5,8.064516129032258,0.5,0.04211453007070707
35,81.93717277486911,64.28571428571429,12.32876712328767,0.5,0.04115224281818182
36,85.07853403141361,90.9090909090909,15.151515151515152,0.5,0.04173500914141414
37,85.34031413612566,66.66666666666667,16.39344262295082,0.5,0.0411471726969697
38,82.46073298429319,83.33333333333333,13.333333333333334,0.5,0.04211453007070707
39,83.24607329842932,91.66666666666667,14.864864864864865,0.5,0.04284149909090909
40,85.34031413612566,83.33333333333333,15.625,0.75,0.04211453007070707
41,82.19895287958116,50.0,14.705882352941176,0.75,0.041225702
42,83.7696335078534,66.66666666666667,12.121212121212121,0.75,0.04219168166666667
43,82.72251308900523,87.5,17.94871794871795,0.75,0.042119511242424246
44,86.38743455497382,100.0,16.129032258064516,0.75,0.04211453007070707
45,79.05759162303664,100.0,9.090909090909092,0.75,0.043081887444444446
46,82.72251308900523,83.33333333333333,13.513513513513514,0.75,0.04173500914141414
47,82.72251308900523,66.66666666666667,11.428571428571429,0.75,0.04211453007070707
48,85.34031413612566,83.33333333333333,15.625,0.75,0.04211453007070707
49,83.24607329842932,71.42857142857143,14.285714285714286,0.75,0.04211453007070707
50,85.34031413612566,75.0,18.75,0.75,0.04173500914141414
51,83.7696335078534,71.42857142857143,14.705882352941176,0.75,0.04173500914141414
52,84.29319371727749,33.333333333333336,7.142857142857143,0.75,0.0411471726969697
53,84.81675392670157,50.0,13.793103448275861,0.75,0.0411471726969697
54,86.91099476439791,71.42857142857143,17.857142857142858,0.75,0.04211453007070707
55,88.48167539267016,83.33333333333333,19.23076923076923,0.75,0.04211453007070707
56,84.29319371727749,60.0,9.67741935483871,0.75,0.04173500914141414
57,81.15183246073299,66.66666666666667,15.384615384615385,0.75,0.04121426748484849
58,83.7696335078534,75.0,9.090909090909092,0.75,0.04211453007070707
59,86.38743455497382,83.33333333333333,16.666666666666668,0.75,0.04173500914141414
