,accuracy,precision,recall,human effort,threshold
0,89.17274939172749,87.98586572438163,95.95375722543352,0.25,0.24147829123830705
1,88.32116788321167,86.37873754152824,97.37827715355806,0.25,0.2182203536487818
2,88.56447688564477,88.16254416961131,94.86692015209125,0.25,0.251888640872228
3,88.32116788321167,86.35607321131448,97.37335834896811,0.25,0.21752934488057307
4,88.44282238442823,88.20422535211267,94.70699432892249,0.25,0.2524240978395598
5,88.9294403892944,90.0,93.22033898305085,0.25,0.258080262118369
6,88.44282238442823,88.10344827586206,95.1582867783985,0.25,0.2446604403045221
7,89.90267639902676,89.1156462585034,96.50092081031308,0.25,0.2418880546924866
8,88.80778588807786,88.2867132867133,95.28301886792453,0.25,0.24499141218955559
9,88.44282238442823,87.06896551724138,96.19047619047619,0.25,0.23398430130543144
10,89.05109489051095,89.27272727272727,94.06130268199233,0.25,0.25366088917369983
11,85.64476885644768,82.72,98.10246679316889,0.25,0.19591124288028344
12,89.05109489051095,89.29824561403508,94.6096654275093,0.25,0.25353287722934864
13,89.78102189781022,88.96672504378283,96.03024574669188,0.25,0.23920462465947592
14,88.68613138686132,88.54166666666667,94.97206703910615,0.25,0.25132704639970144
15,88.56447688564477,89.47368421052632,93.19470699432893,0.25,0.2553486713942932
16,89.29440389294403,88.18493150684931,96.44194756554307,0.25,0.2388948915491899
17,87.10462287104623,84.53947368421052,97.71863117870723,0.25,0.20765376525454116
18,89.05109489051095,88.07829181494662,95.55984555984556,0.25,0.24683631643455667
19,86.61800486618004,83.94648829431438,97.28682170542636,0.25,0.21798164640376252
20,88.13868613138686,87.36559139784946,94.75218658892128,0.5,0.2423247949832142
21,89.05109489051095,89.70189701897019,93.76770538243626,0.5,0.25208229588101794
22,88.5036496350365,86.82170542635659,96.55172413793103,0.5,0.23868363153960087
23,89.5985401459854,89.29503916449086,95.53072625698324,0.5,0.24629090107303353
24,86.67883211678833,86.11111111111111,94.98607242339833,0.5,0.24446536493980164
25,89.96350364963503,89.9736147757256,95.25139664804469,0.5,0.2506372490694434
26,89.41605839416059,88.63049095607235,96.07843137254902,0.5,0.2446604403045221
27,90.14598540145985,90.0804289544236,95.1841359773371,0.5,0.2483411909569712
28,88.68613138686132,88.14432989690722,95.53072625698324,0.5,0.241490239075765
29,89.41605839416059,87.62626262626263,97.47191011235955,0.5,0.2440740173782328
30,88.5036496350365,88.28125,94.95798319327731,0.5,0.24683631643455667
31,89.05109489051095,89.44591029023746,94.42896935933148,0.5,0.2483411909569712
32,88.68613138686132,88.23529411764706,94.82758620689656,0.5,0.2446604403045221
33,88.5036496350365,87.24489795918367,96.33802816901408,0.5,0.23630839900945722
34,88.13868613138686,87.98955613577023,94.66292134831461,0.5,0.2446604403045221
35,87.04379562043796,87.92650918635171,93.05555555555556,0.5,0.2567755707794421
36,88.68613138686132,88.94736842105263,94.41340782122904,0.5,0.24660504387916699
37,88.5036496350365,88.62433862433862,94.36619718309859,0.5,0.2446604403045221
38,89.78102189781022,89.44591029023746,95.49295774647888,0.5,0.2446604403045221
39,87.4087591240876,87.30569948186529,94.39775910364146,0.5,0.24629090107303353
40,90.87591240875912,91.37055837563452,95.74468085106383,0.75,0.2446604403045221
41,91.60583941605839,92.3076923076923,95.74468085106383,0.75,0.2423247949832142
42,88.32116788321167,86.5979381443299,96.55172413793103,0.75,0.2440740173782328
43,91.24087591240875,89.69072164948453,97.75280898876404,0.75,0.2423247949832142
44,86.86131386861314,86.09625668449198,94.15204678362574,0.75,0.2506372490694434
45,90.87591240875912,90.10416666666667,96.64804469273743,0.75,0.2483411909569712
46,87.5912408759124,88.54166666666667,93.4065934065934,0.75,0.2483411909569712
47,87.22627737226277,87.62886597938144,93.92265193370166,0.75,0.2483411909569712
48,87.95620437956204,85.26315789473684,97.0059880239521,0.75,0.2423247949832142
49,88.32116788321167,88.54166666666667,94.44444444444444,0.75,0.23868363153960087
50,88.68613138686132,87.87878787878788,96.13259668508287,0.75,0.2423247949832142
51,92.33576642335767,91.5,97.86096256684492,0.75,0.2423247949832142
52,89.05109489051095,88.78048780487805,96.29629629629629,0.75,0.2423247949832142
53,87.5912408759124,90.86021505376344,90.86021505376344,0.75,0.2543575869307282
54,87.95620437956204,89.07103825136612,92.61363636363636,0.75,0.2440740173782328
55,90.14598540145985,90.81632653061224,95.18716577540107,0.75,0.243392692420829
56,86.13138686131387,83.06878306878306,96.31901840490798,0.75,0.2423247949832142
57,87.5912408759124,87.83068783068784,93.78531073446328,0.75,0.2423247949832142
58,90.14598540145985,88.2051282051282,97.72727272727273,0.75,0.2423247949832142
59,90.51094890510949,90.10416666666667,96.11111111111111,0.75,0.2483411909569712
