model,accuracy,precision,recall,config
random-forest,0.854166667,0.5,0.107142857,"['CS', 'SSIM']"
random-forest,0.854166667,0.5,0.071428571,"['VAE', 'CS', 'CPL']"
random-forest,0.854166667,0.5,0.142857143,"['VAE', 'CS', 'SSIM', 'CPL']"
random-forest,0.848958333,0.466666667,0.25,"['CS', 'CPL']"
random-forest,0.848958333,0.428571429,0.107142857,"['CS', 'SSIM', 'CPL']"
decision-tree,0.828125,0.380952381,0.285714286,"['VAE', 'CS', 'SSIM', 'CPL']"
decision-tree,0.817708333,0.36,0.321428571,"['CS', 'SSIM', 'CPL']"
decision-tree,0.822916667,0.35,0.25,"['VAE', 'CS', 'CPL']"
SVM,0.838541667,0.333333333,0.107142857,['CPL']
decision-tree,0.802083333,0.333333333,0.357142857,"['CS', 'CPL']"
logistic-regression,0.828125,0.307692308,0.142857143,"['CS', 'SSIM', 'CPL']"
logistic-regression,0.828125,0.307692308,0.142857143,"['VAE', 'CS', 'SSIM', 'CPL']"
SVM,0.84375,0.25,0.035714286,"['SSIM', 'CPL']"
random-forest,0.822916667,0.25,0.107142857,"['VAE', 'CPL']"
logistic-regression,0.822916667,0.25,0.107142857,"['CS', 'CPL']"
logistic-regression,0.822916667,0.25,0.107142857,"['VAE', 'CS', 'CPL']"
logistic-regression,0.817708333,0.230769231,0.107142857,['CPL']
logistic-regression,0.817708333,0.230769231,0.107142857,"['VAE', 'CPL']"
logistic-regression,0.817708333,0.230769231,0.107142857,"['SSIM', 'CPL']"
logistic-regression,0.817708333,0.230769231,0.107142857,"['VAE', 'SSIM', 'CPL']"
random-forest,0.828125,0.222222222,0.071428571,"['VAE', 'SSIM', 'CPL']"
random-forest,0.760416667,0.21875,0.25,['VAE']
decision-tree,0.760416667,0.21875,0.25,['VAE']
decision-tree,0.786458333,0.217391304,0.178571429,"['VAE', 'SSIM', 'CPL']"
random-forest,0.822916667,0.2,0.071428571,"['SSIM', 'CPL']"
random-forest,0.776041667,0.2,0.178571429,['CS']
decision-tree,0.776041667,0.2,0.178571429,['CS']
decision-tree,0.776041667,0.2,0.178571429,"['VAE', 'CS']"
decision-tree,0.770833333,0.192307692,0.178571429,"['SSIM', 'CPL']"
random-forest,0.723958333,0.179487179,0.25,['CPL']
decision-tree,0.723958333,0.179487179,0.25,['CPL']
decision-tree,0.770833333,0.166666667,0.142857143,"['CS', 'SSIM']"
decision-tree,0.75,0.166666667,0.178571429,"['VAE', 'SSIM']"
decision-tree,0.703125,0.146341463,0.214285714,"['VAE', 'CS', 'SSIM']"
random-forest,0.723958333,0.096774194,0.107142857,['SSIM']
decision-tree,0.723958333,0.096774194,0.107142857,['SSIM']
decision-tree,0.723958333,0.037037037,0.035714286,"['VAE', 'CPL']"
SVM,0.848958333,0,0,"['CS', 'CPL']"
random-forest,0.848958333,0,0,"['VAE', 'CS', 'SSIM']"
SVM,0.84375,0,0,"['VAE', 'CPL']"
SVM,0.84375,0,0,"['VAE', 'SSIM', 'CPL']"
random-forest,0.822916667,0,0,"['VAE', 'CS']"
random-forest,0.817708333,0,0,"['VAE', 'SSIM']"
logistic-regression,0.854166667,-1,0,['VAE']
SVM,0.854166667,-1,0,['VAE']
logistic-regression,0.854166667,-1,0,['CS']
SVM,0.854166667,-1,0,['CS']
logistic-regression,0.854166667,-1,0,['SSIM']
SVM,0.854166667,-1,0,['SSIM']
logistic-regression,0.854166667,-1,0,"['VAE', 'CS']"
SVM,0.854166667,-1,0,"['VAE', 'CS']"
logistic-regression,0.854166667,-1,0,"['VAE', 'SSIM']"
SVM,0.854166667,-1,0,"['VAE', 'SSIM']"
logistic-regression,0.854166667,-1,0,"['CS', 'SSIM']"
SVM,0.854166667,-1,0,"['CS', 'SSIM']"
SVM,0.854166667,-1,0,"['CS', 'SSIM', 'CPL']"
SVM,0.854166667,-1,0,"['VAE', 'CS', 'CPL']"
logistic-regression,0.854166667,-1,0,"['VAE', 'CS', 'SSIM']"
SVM,0.854166667,-1,0,"['VAE', 'CS', 'SSIM']"
SVM,0.854166667,-1,0,"['VAE', 'CS', 'SSIM', 'CPL']"
